Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
29              0.25            101             [0,9,10]                                           3                              29              29              0.0            
29              0.5             203             [0,3,5,6,12]                                       5                              29              29              0.0            
29              0.75            304             [0,2,3,5,9,13,15,18]                               8                              29              29              0.0            
30              0.125           54              [0,15,7]                                           3                              30              30              0.0            
30              0.25            108             [0,1]                                              2                              30              30              0.0            
30              0.5             217             [0,1,3,17]                                         4                              30              30              0.0            
30              0.75            326             [0,1,2,3,9,10,15,29]                               8                              30              30              0.0009989738464355469
31              0.125           58              [0,2]                                              2                              31              31              0.0            
31              0.25            116             [0,2,7]                                            3                              31              31              0.0            
31              0.5             232             [0,8,12,5]                                         4                              31              31              0.0            
31              0.75            348             [0,1,2,4,5,8,10,14,16]                             9                              31              31              0.0            
32              0.125           62              [0,3]                                              2                              32              32              0.0            
32              0.25            124             [0,8,11]                                           3                              32              32              0.0            
32              0.5             248             [0,9,5,25]                                         4                              32              32              0.0            
32              0.75            372             [0,2,3,5,6,9,13,14,21,24,25]                       11                             32              32              0.0            
33              0.125           66              [0,7]                                              2                              33              33              0.0            
33              0.25            132             [0,12,5]                                           3                              33              33              0.0            
33              0.5             264             [0,1,3,14,27]                                      5                              33              33              0.0            
33              0.75            396             [0,1,2,3,7,11,13]                                  7                              33              33              0.0            
34              0.125           70              [0,2]                                              2                              34              34              0.0            
34              0.25            140             [0,3,5]                                            3                              34              34              0.0            
34              0.5             280             [0,1,32,9,22]                                      5                              34              34              0.0            
34              0.75            420             [0,2,3,4,7,16,19,22]                               8                              34              34              0.0            
35              0.125           74              [0,2]                                              2                              35              35              0.0            
35              0.25            148             [0,1,13]                                           3                              35              35              0.0            
35              0.5             297             [0,1,4,5,12]                                       5                              35              35              0.0            
35              0.75            446             [0,1,6,8,10,17,21]                                 7                              35              35              0.0            
36              0.125           78              [0,27,5]                                           3                              36              36              0.0            
36              0.25            157             [0,12,7]                                           3                              36              36              0.0            
36              0.5             315             [0,4,6]                                            3                              36              36              0.0            
36              0.75            472             [0,1,32,6,9,12,25,30]                              8                              36              36              0.0            
37              0.125           83              [0,23]                                             2                              37              37              0.0            
37              0.25            166             [0,19,10,3]                                        4                              37              37              0.0            
37              0.5             333             [0,2,18,4]                                         4                              37              37              0.0            
37              0.75            499             [0,1,2,5,9,12,13,28]                               8                              37              37              0.001007080078125
