Vertices;Edge_Percentage;Edges;Maximum_Clique;Maximum_Clique_Size;Operations;Attempts;Time
19;0.75;128;[0,3,5,6,11,16,17];7;10035;606;0.028076648712158203
20;0.125;23;[0,16,6];3;10000;1860;0.031655311584472656
20;0.25;47;[12,4,15];3;10001;1816;0.03168463706970215
20;0.5;95;[1,2,3,9,10];5;10001;1304;0.04560661315917969
20;0.75;142;[0,1,3,6,8,12,13,19];8;10009;330;0.021024227142333984
21;0.125;26;[8,10,3];3;10002;2001;0.03261256217956543
21;0.25;52;[4,16,11];3;10002;1876;0.033048391342163086
21;0.5;105;[1,6,8,9,15];5;10002;1272;0.03260517120361328
21;0.75;157;[1,2,6,7,8,13,16,19];8;10008;519;0.026540040969848633
22;0.125;28;[14,18,17];3;10000;2004;0.03441572189331055
22;0.25;57;[0,8,7];3;10003;1925;0.03555417060852051
22;0.5;115;[8,3,7,19];4;10000;1330;0.03654170036315918
22;0.75;173;[1,3,4,14,15,17,18,19,20];9;10002;509;0.03154253959655762
23;0.125;31;[22,7,0];3;10003;2036;0.033934831619262695
23;0.25;63;[2,9,11];3;10000;1998;0.038625240325927734
23;0.5;126;[20,10,17,19,11];5;10006;1306;0.03742098808288574
23;0.75;189;[0,2,3,4,15,18,19,21];8;10000;540;0.03156709671020508
24;0.125;34;[22,16,6];3;10005;2188;0.03453230857849121
24;0.25;69;[16,8,6,13];4;10000;1921;0.037049293518066406
24;0.5;138;[9,22,8,2,7];5;10006;1337;0.03404951095581055
24;0.75;207;[0,1,4,7,10,11,14,23];8;10007;567;0.03079819679260254
25;0.125;37;[14,5,13];3;10001;2190;0.03958010673522949
25;0.25;75;[19,1,11];3;10002;2090;0.03805065155029297
25;0.5;150;[4,0,22,14,17,2];6;10011;1223;0.03805375099182129
25;0.75;225;[1,2,3,6,7,8,10,14,19,21];10;10015;488;0.03103923797607422
26;0.125;40;[9,6,17];3;10000;2210;0.03855562210083008
26;0.25;81;[4,3,6];3;10001;2100;0.03567242622375488
26;0.5;162;[8,18,7,16,11];5;10002;1337;0.034563302993774414
26;0.75;243;[1,2,4,6,8,13,15,17,25];9;10055;614;0.03805375099182129
27;0.125;43;[18,7,24];3;10001;2249;0.03853416442871094
27;0.25;87;[7,10,13];3;10002;2096;0.03707551956176758
27;0.5;175;[24,14,8,10,7];5;10002;1388;0.03404641151428223
27;0.75;263;[1,3,6,11,15,16,17,23];8;10028;628;0.03569746017456055
28;0.125;47;[27,6,7];3;10001;2233;0.03768801689147949
28;0.25;94;[9,8,2,23];4;10004;1705;0.03553342819213867
28;0.5;189;[4,0,24,10,16];5;10000;1349;0.04407143592834473
28;0.75;283;[0,2,5,7,10,14,18,23,26];9;10016;615;0.0436863899230957
29;0.125;50;[2,28,19];3;10005;2256;0.042191505432128906
29;0.25;101;[28,27,10,24];4;10003;2094;0.037545204162597656
29;0.5;203;[0,9,13,18,23];5;10013;1362;0.04256391525268555
29;0.75;304;[0,2,3,5,9,15,17,25,27];9;10009;653;0.03861212730407715
30;0.125;54;[12,16,2];3;10001;2293;0.042081594467163086
30;0.25;108;[9,25,21];3;10000;2175;0.03905081748962402
30;0.5;217;[25,18,5,15,11];5;10005;1376;0.0352632999420166
30;0.75;326;[2,3,4,7,15,17,18,27,28];9;10005;638;0.03504490852355957
31;0.125;58;[12,21,9];3;10003;2316;0.046126365661621094
31;0.25;116;[12,22,9,30];4;10002;2018;0.037489891052246094
31;0.5;232;[20,22,26,17,15];5;10004;1384;0.04058098793029785
31;0.75;348;[0,2,4,5,8,9,10,14,18];9;10023;607;0.033677101135253906
32;0.125;62;[8,25,19];3;10003;2313;0.04956340789794922
32;0.25;124;[22,14,10,28];4;10002;1791;0.03512382507324219
32;0.5;248;[4,9,8,2,19];5;10003;1417;0.04542088508605957
32;0.75;372;[0,2,3,5,6,9,13,14,21,24,25];11;10013;512;0.04477286338806152
33;0.125;66;[18,17,24];3;10001;2301;0.055037498474121094
33;0.25;132;[4,13,26,18];4;10002;2032;0.05003690719604492
33;0.5;264;[24,10,13,2,29];5;10012;1391;0.03854036331176758
33;0.75;396;[0,4,6,7,12,13,20,25,29];9;10000;621;0.046616315841674805
34;0.125;70;[25,6,7];3;10000;2317;0.050893545150756836
34;0.25;140;[8,18,30,1];4;10005;1876;0.04120206832885742
34;0.5;280;[4,25,26,29,28,11];6;10013;1261;0.04306769371032715
34;0.75;420;[1,3,8,16,17,18,27,31,33];9;10013;678;0.03467726707458496
