Vertices;Edge_Percentage;Edges;Maximum_Clique;Maximum_Clique_Size;Operations;Attempts;Time
4;0.125;0;[1];1;10004;7;0.0070037841796875
4;0.25;1;[0,3];2;10000;6;0.005510091781616211
4;0.5;3;[0,3];2;10003;3;0.006512165069580078
4;0.75;4;[1,3];2;10002;5;0.0050008296966552734
5;0.125;1;[4,3];2;10005;15;0.00651097297668457
5;0.25;2;[0,3];2;10005;11;0.0065038204193115234
5;0.5;5;[0,1,4];3;10001;5;0.0050048828125
5;0.75;7;[0,1,3];3;10002;3;0.00651097297668457
6;0.125;1;[3,4];2;10006;24;0.0060002803802490234
6;0.25;3;[1,2];2;10006;3;0.006512165069580078
6;0.5;7;[0,1,5];3;10000;5;0.006501913070678711
6;0.75;11;[1,3,4];3;10009;3;0.006007671356201172
7;0.125;2;[2,6];2;10011;37;0.006508827209472656
7;0.25;5;[2,4,5];3;10001;65;0.0069997310638427734
7;0.5;10;[2,5,6];3;10007;13;0.006512165069580078
7;0.75;15;[0,2,3,6];4;10009;3;0.007013559341430664
8;0.125;3;[0,3];2;10002;72;0.007508993148803711
8;0.25;7;[1,2];2;10002;85;0.008002758026123047
8;0.5;14;[0,1,2,7];4;10008;6;0.0055081844329833984
8;0.75;21;[0,2,3,4];4;10013;6;0.0065076351165771484
9;0.125;4;[4,8];2;10000;108;0.008004426956176758
9;0.25;9;[0,5,1];3;10003;135;0.009418249130249023
9;0.5;18;[0,5,3];3;10000;62;0.00750732421875
9;0.75;27;[3,4,5,6,7];5;10001;10;0.005505800247192383
10;0.125;5;[4,5];2;10003;149;0.01051473617553711
10;0.25;11;[1,6,7];3;10001;255;0.010513067245483398
10;0.5;22;[0,5,7,9];4;10011;40;0.006000041961669922
10;0.75;33;[0,1,3,5,7];5;10013;5;0.006510019302368164
11;0.125;6;[1,8];2;10001;202;0.01001286506652832
11;0.25;13;[8,1];2;10000;231;0.010512351989746094
11;0.5;27;[0,7,9,10];4;10015;52;0.0075070858001708984
11;0.75;41;[2,3,4,7,8];5;10003;18;0.007001161575317383
12;0.125;8;[7,0];2;10003;281;0.011022567749023438
12;0.25;16;[8,2,7];3;10002;529;0.017516613006591797
12;0.5;33;[0,3,5,6];4;10004;268;0.011511564254760742
12;0.75;49;[0,2,3,4,9,10,11];7;10009;4;0.006510496139526367
13;0.125;9;[0,7,12];3;10002;693;0.0200197696685791
13;0.25;19;[8,1,3];3;10003;716;0.01653003692626953
13;0.5;39;[0,10,6,5,11];5;10005;416;0.01350712776184082
13;0.75;58;[0,2,6,8,11];5;10004;32;0.006509065628051758
14;0.125;11;[10,13,11];3;10004;1023;0.021022558212280273
14;0.25;22;[5,6,11];3;10003;997;0.020020008087158203
14;0.5;45;[0,2,4,7,13];5;10000;673;0.02002549171447754
14;0.75;68;[0,1,4,5,9,13];6;10009;11;0.006503582000732422
15;0.125;13;[1,10];2;10000;553;0.014020204544067383
15;0.25;26;[8,3,9];3;10001;1131;0.027545452117919922
15;0.5;52;[0,1,2,9];4;10009;1039;0.03205132484436035
15;0.75;78;[0,2,3,11,13,14];6;10012;48;0.009513378143310547
16;0.125;15;[13,6,0];3;10000;1463;0.028096437454223633
16;0.25;30;[14,10,13,7];4;10001;1514;0.030537843704223633
16;0.5;60;[4,9,8,2,11];5;10001;1095;0.029540061950683594
16;0.75;90;[0,3,6,9,10,11,14,15];8;10058;22;0.007500171661376953
17;0.125;17;[4,3];2;10001;805;0.01952338218688965
17;0.25;34;[16,1,4];3;10000;1484;0.02992415428161621
17;0.5;68;[0,1,5,6,7];5;10000;1196;0.030042648315429688
17;0.75;102;[0,1,3,6,10,12,13];7;10045;140;0.010510921478271484
18;0.125;19;[8,1,9];3;10003;1624;0.02803182601928711
18;0.25;38;[0,1,11,16];4;10004;1652;0.034549713134765625
18;0.5;76;[2,4,7,9,14,15];6;10002;1170;0.03321242332458496
18;0.75;114;[0,1,7,8,9,11,14];7;10052;8;0.006511211395263672
19;0.125;21;[7,6,15];3;10001;1794;0.03225827217102051
19;0.25;42;[4,1,11];3;10000;1686;0.03153514862060547
19;0.5;85;[0,8,6,2,12];5;10004;1201;0.03253650665283203
