Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
4               0.125           0               [1]                                                1                              10001           5001            0.06807565689086914
4               0.25            1               [0,3]                                              2                              10000           3004            0.05100083351135254
4               0.5             3               [0,3]                                              2                              10001           2916            0.05337953567504883
4               0.75            4               [0,1]                                              2                              10002           2858            0.04700016975402832
5               0.125           1               [4,3]                                              2                              10002           3335            0.042520999908447266
5               0.25            2               [0,3]                                              2                              10000           2904            0.04599905014038086
5               0.5             5               [0,1,4]                                            3                              10001           2001            0.03805232048034668
5               0.75            7               [0,1,3]                                            3                              10004           2002            0.03699898719787598
6               0.125           1               [3,4]                                              2                              10000           3195            0.04400777816772461
6               0.25            3               [0,5]                                              2                              10005           2532            0.04251408576965332
6               0.5             7               [0,1,2]                                            3                              10003           2220            0.04699850082397461
6               0.75            11              [0,1,3]                                            3                              10002           2058            0.04251575469970703
7               0.125           2               [0,5]                                              2                              10002           2857            0.0429997444152832
7               0.25            5               [2,4,5]                                            3                              10002           2447            0.04051828384399414
7               0.5             10              [2,5,6]                                            3                              10002           2410            0.04100179672241211
7               0.75            15              [0,2,3,6]                                          4                              10005           1430            0.040003061294555664
8               0.125           3               [0,7]                                              2                              10002           3051            0.04450869560241699
8               0.25            7               [7,1]                                              2                              10000           2529            0.04100203514099121
8               0.5             14              [0,1,2,7]                                          4                              10007           1605            0.05027174949645996
8               0.75            21              [0,2,5,7]                                          4                              10004           1556            0.0520024299621582
9               0.125           4               [4,8]                                              2                              10002           2764            0.05251646041870117
9               0.25            9               [5,1,0]                                            3                              10002           2459            0.0429995059967041
9               0.5             18              [7,6,8]                                            3                              10000           2170            0.04351544380187988
9               0.75            27              [3,4,5,6,7]                                        5                              10001           1482            0.0410001277923584
10              0.125           5               [1,3]                                              2                              10001           2859            0.06552457809448242
10              0.25            11              [7,1,6]                                            3                              10002           2469            0.05099916458129883
10              0.5             22              [0,5,6,7,9]                                        5                              10003           1588            0.04551196098327637
10              0.75            33              [0,1,3,5,7]                                        5                              10006           1322            0.04300189018249512
11              0.125           6               [1,8]                                              2                              10001           2926            0.05504751205444336
