Vertices;Edge_Percentage;Edges;Maximum_Clique;Maximum_Clique_Size;Operations;Attempts;Time
4;0.125;0;[1];1;500001;7;0.36299943923950195
4;0.25;1;[0,3];2;500005;6;0.42299532890319824
4;0.5;3;[0,3];2;500003;3;0.31763601303100586
4;0.75;4;[0,2];2;500004;3;0.3112931251525879
5;0.125;1;[4,3];2;500002;21;0.3421022891998291
5;0.25;2;[0,3];2;500000;11;0.32925915718078613
5;0.5;5;[0,1,4];3;500014;6;0.36739063262939453
5;0.75;7;[0,1,3];3;500018;5;0.35680413246154785
6;0.125;1;[3,4];2;500001;34;0.4144725799560547
6;0.25;3;[1,2];2;500010;11;0.3207101821899414
6;0.5;7;[0,1,2];3;500022;3;0.30790090560913086
6;0.75;11;[0,1,3];3;500009;3;0.31732964515686035
7;0.125;2;[2,6];2;500002;52;0.32343292236328125
7;0.25;5;[2,5];2;500004;29;0.316882848739624
7;0.5;10;[5,2];2;500008;21;0.3081173896789551
7;0.75;15;[0,2,3,6];4;500008;5;0.2999608516693115
8;0.125;3;[0,7];2;500001;84;0.3669447898864746
8;0.25;7;[5,1];2;500002;84;0.4094564914703369
8;0.5;14;[0,1,2,7];4;500014;6;0.31171369552612305
8;0.75;21;[0,2,3,4];4;500011;4;0.32152891159057617
9;0.125;4;[0,7];2;500002;107;0.3416612148284912
9;0.25;9;[0,1,5];3;500005;140;0.35438108444213867
9;0.5;18;[4,8,6];3;500006;48;0.347487211227417
9;0.75;27;[0,1,5,8];4;500011;5;0.32240796089172363
10;0.125;5;[0,1];2;500000;156;0.38175106048583984
10;0.25;11;[7,1,6];3;500003;250;0.3576772212982178
10;0.5;22;[7,5,6,0];4;500010;30;0.3503429889678955
10;0.75;33;[0,1,3,5,7];5;500019;3;0.33159613609313965
11;0.125;6;[7,5];2;500001;201;0.3721332550048828
11;0.25;13;[0,1];2;500002;228;0.3830125331878662
11;0.5;27;[0,7,9,10];4;500022;38;0.34025096893310547
11;0.75;41;[0,3,5,9,10];5;500036;13;0.3553025722503662
12;0.125;8;[0,6];2;500001;295;0.36925745010375977
12;0.25;16;[8,10,9];3;500001;525;0.36207032203674316
12;0.5;33;[1,3,5,6];4;500007;286;0.3640298843383789
12;0.75;49;[0,2,3,4,9,10,11];7;500023;2;0.30940818786621094
13;0.125;9;[12,7,0];3;500003;759;0.36811399459838867
13;0.25;19;[0,10,4];3;500005;763;0.37093544006347656
13;0.5;39;[0,5,6,10,11];5;500015;290;0.36213183403015137
13;0.75;58;[0,2,6,8,11];5;500012;37;0.3667614459991455
14;0.125;11;[10,13,11];3;500000;1316;0.37435460090637207
14;0.25;22;[1,5,11];3;500002;1104;0.37517523765563965
14;0.5;45;[4,0,13,2,7];5;500001;777;0.3988633155822754
14;0.75;68;[2,4,8,9,10,12];6;500011;4;0.339158296585083
15;0.125;13;[1,13];2;500001;551;0.35614585876464844
15;0.25;26;[7,0,13];3;500003;1424;0.36704277992248535
15;0.5;52;[0,1,2,9];4;500005;4421;0.4459540843963623
15;0.75;78;[0,2,3,11,13,14];6;500030;46;0.3291816711425781
16;0.125;15;[15,0,13];3;500000;1845;0.40694403648376465
16;0.25;30;[14,10,13,7];4;500003;5006;0.4455580711364746
16;0.5;60;[4,9,8,2,11];5;500000;9215;0.6067142486572266
16;0.75;90;[0,3,6,9,10,11,14,15];8;500037;39;0.3438382148742676
17;0.125;17;[10,3];2;500002;842;0.42012548446655273
17;0.25;34;[0,9,3];3;500001;2462;0.41440892219543457
17;0.5;68;[0,1,5,6,7];5;500004;13202;0.6576023101806641
17;0.75;102;[0,1,3,6,10,12,13];7;500008;68;0.35356640815734863
18;0.125;19;[8,1,9];3;500000;3104;0.4053804874420166
18;0.25;38;[0,1,11,16];4;500003;10001;0.5590839385986328
18;0.5;76;[2,4,7,8,14,15];6;500022;19732;0.8750078678131104
18;0.75;114;[0,4,6,7,8,10,12];7;500008;502;0.3617665767669678
19;0.125;21;[18,13,11];3;500000;4205;0.4517960548400879
19;0.25;42;[4,0,8];3;500003;4051;0.4137294292449951
19;0.5;85;[0,14,3,13,1];5;500003;27342;0.9575221538543701
19;0.75;128;[0,3,5,6,11,16,17];7;500039;3776;0.4812638759613037
20;0.125;23;[8,13,15];3;500000;4888;0.4432487487792969
20;0.25;47;[12,4,11];3;500001;5069;0.42897987365722656
20;0.5;95;[3,6,19,5,11];5;500006;34118;1.044065237045288
20;0.75;142;[0,1,3,6,8,12,13,19];8;500049;5;0.34680676460266113
21;0.125;26;[8,1,3];3;500001;6108;0.4404425621032715
21;0.25;52;[4,10,19];3;500004;6211;0.44951367378234863
21;0.5;105;[4,20,17,6,5,15];6;500007;47785;1.484534740447998
21;0.75;157;[1,2,8,9,10,12,13,16,19];9;500040;1183;0.38442087173461914
22;0.125;28;[7,3,20];3;500002;7384;0.4877643585205078
22;0.25;57;[0,14,7];3;500002;7709;0.47707343101501465
22;0.5;115;[5,2,16,21,15];5;500000;48584;1.396202802658081
22;0.75;173;[1,6,14,17,18,19,20];7;500030;3;0.3443131446838379
23;0.125;31;[22,7,11];3;500000;8949;0.5339047908782959
23;0.25;63;[12,4,0];3;500000;9104;0.5191650390625
23;0.5;126;[20,10,13,17,7,21];6;500000;54490;1.558680772781372
23;0.75;189;[0,2,3,15,18,19,20,21];8;500003;24271;1.4341850280761719
24;0.125;34;[22,16,6];3;500002;11137;0.5304925441741943
24;0.25;69;[18,17,6,16];4;500003;41563;1.0737223625183105
24;0.5;138;[0,9,22,19,16];5;500002;55056;1.5884597301483154
24;0.75;207;[0,1,4,7,10,12,19,20];8;500016;26261;1.5668084621429443
25;0.125;37;[23,8,15];3;500000;13033;0.5619537830352783
25;0.25;75;[17,19,15,11];4;500004;45349;1.1902751922607422
25;0.5;150;[0,2,4,14,17,22];6;500001;50174;1.6437547206878662
25;0.75;225;[1,2,3,6,7,8,10,14,19,21];10;500030;9232;0.8385791778564453
26;0.125;40;[14,17,6];3;500001;15143;0.6110475063323975
26;0.25;81;[3,6,12,23];4;500002;52103;1.2627413272857666
26;0.5;162;[8,18,2,6,16,15];6;500000;54155;1.6378769874572754
26;0.75;243;[3,6,7,8,11,13,15,21,24];9;500003;30335;1.6551663875579834
27;0.125;43;[14,21,6];3;500002;17652;0.6347477436065674
27;0.25;87;[10,13,26,7];4;500003;58941;1.3581864833831787
27;0.5;175;[9,22,25,5,11];5;500003;62421;1.6394457817077637
27;0.75;263;[2,5,6,7,14,15,16,24,25];9;500004;32108;1.5803554058074951
28;0.125;47;[8,3,23];3;500003;20565;0.6805016994476318
28;0.25;94;[14,26,6,23];4;500003;60285;1.3922557830810547
28;0.5;189;[0,2,7,11,16,23];6;500002;57876;1.692800521850586
28;0.75;283;[0,2,7,10,14,15,17,18,23,26];10;500005;23815;1.5483665466308594
29;0.125;50;[16,8,17];3;500000;24242;0.7182886600494385
29;0.25;101;[0,20,18,12];4;500003;64146;1.4863975048065186
29;0.5;203;[0,24,3,5,6];5;500005;64895;1.7583181858062744
29;0.75;304;[0,2,3,5,9,18,20,25,26,28];10;500014;25780;1.6888163089752197
30;0.125;54;[0,7,15];3;500001;27397;0.7931950092315674
30;0.25;108;[9,24,18,12];4;500002;68504;1.5720646381378174
30;0.5;217;[4,25,13,7,16,21,11];7;500002;53575;1.661149024963379
30;0.75;326;[0,22,8,13,26,18,7,16,28,21];10;500011;30385;1.7431933879852295
31;0.125;58;[22,6,7];3;500005;30899;0.838839054107666
31;0.25;116;[22,25,6,16];4;500001;69994;1.5922985076904297
31;0.5;232;[14,8,26,2,6,15];6;500006;54399;1.675123691558838
31;0.75;348;[1,2,4,6,10,11,14,17,25,26];10;500011;24938;1.7154381275177002
32;0.125;62;[8,25,19];3;500001;35383;0.915532112121582
32;0.25;124;[24,8,3,26,18];5;500003;76779;1.7552490234375
32;0.5;248;[9,26,17,30,31,5];6;500011;56494;1.7445917129516602
32;0.75;372;[0,2,3,5,6,9,13,14,21,24,31];11;500006;25208;1.7814996242523193
