Vertices;Edge_Percentage;Edges;Maximum_Clique;Maximum_Clique_Size;Operations;Attempts;Time
4;0.125;0;[0];1;100001;7;0.06626272201538086
4;0.25;1;[0,3];2;100000;11;0.06063032150268555
4;0.5;3;[1,3];2;100010;7;0.06513071060180664
4;0.75;4;[0,2];2;100009;3;0.058054208755493164
5;0.125;1;[4,3];2;100001;18;0.06606936454772949
5;0.25;2;[0,3];2;100024;15;0.06282854080200195
5;0.5;5;[0,1,4];3;100002;3;0.06257009506225586
5;0.75;7;[0,1,3];3;100011;3;0.06406855583190918
6;0.125;1;[3,4];2;100001;34;0.07058548927307129
6;0.25;3;[0,5];2;100000;10;0.06292462348937988
6;0.5;7;[0,1,5];3;100006;7;0.06410813331604004
6;0.75;11;[0,1,5];3;100002;3;0.06380081176757812
7;0.125;2;[2,6];2;100007;39;0.0590667724609375
7;0.25;5;[4,5];2;100013;29;0.06250882148742676
7;0.5;10;[2,5,6];3;100018;39;0.06258988380432129
7;0.75;15;[0,2,3,6];4;100004;7;0.057555198669433594
8;0.125;3;[0,7];2;100000;75;0.06809616088867188
8;0.25;7;[1,2];2;100000;91;0.06769871711730957
8;0.5;14;[0,1,2,7];4;100006;4;0.0695791244506836
8;0.75;21;[0,2,3,4];4;100000;5;0.05969572067260742
9;0.125;4;[7,0];2;100000;106;0.06473684310913086
9;0.25;9;[0,1,5];3;100004;135;0.06909990310668945
9;0.5;18;[8,6,0];3;100012;82;0.06528902053833008
9;0.75;27;[0,2,7,8];4;100002;15;0.06064009666442871
10;0.125;5;[0,7];2;100000;161;0.06708121299743652
10;0.25;11;[1,6,7];3;100001;264;0.0715949535369873
10;0.5;22;[5,6,0,7];4;100008;28;0.06006765365600586
10;0.75;33;[0,1,3,5,7];5;100014;4;0.060567617416381836
11;0.125;6;[1,8];2;100001;207;0.07958793640136719
11;0.25;13;[0,2];2;100002;245;0.0876619815826416
11;0.5;27;[0,7,9,10];4;100016;57;0.06218099594116211
11;0.75;41;[1,3,4,6,7];5;100034;7;0.061028242111206055
12;0.125;8;[10,9];2;100003;279;0.07057762145996094
