Vertices;Edge_Percentage;Edges;Maximum_Clique;Maximum_Clique_Size;Operations;Attempts;Time
12;0.25;16;[8,10,9];3;100002;514;0.07797741889953613
12;0.5;33;[0,3,5,6];4;100009;255;0.0691986083984375
12;0.75;49;[0,2,3,4,9,10,11];7;100000;2;0.0671994686126709
13;0.125;9;[12,7,0];3;100000;737;0.08468818664550781
13;0.25;19;[0,4,10];3;100000;754;0.07556653022766113
13;0.5;39;[0,5,6,10,11];5;100009;201;0.07007598876953125
13;0.75;58;[0,2,6,8,11];5;100010;31;0.06782937049865723
14;0.125;11;[10,13,11];3;100000;1129;0.08059287071228027
14;0.25;22;[5,6,11];3;100002;1165;0.0820932388305664
14;0.5;45;[0,2,4,7,13];5;100016;749;0.08198952674865723
14;0.75;68;[0,1,4,5,9,13];6;100002;3;0.06264901161193848
15;0.125;13;[7,3];2;100002;554;0.08235836029052734
15;0.25;26;[5,8,3];3;100000;1435;0.09550046920776367
15;0.5;52;[0,1,2,9];4;100001;4313;0.16525793075561523
15;0.75;78;[0,2,3,11,13,14];6;100021;44;0.06720948219299316
16;0.125;15;[0,6,13];3;100002;1834;0.09411430358886719
16;0.25;30;[14,10,13,5];4;100000;5921;0.1831507682800293
16;0.5;60;[4,9,8,2,7];5;100001;6734;0.21924257278442383
16;0.75;90;[0,3,6,9,10,11,14,15];8;100049;9;0.07937908172607422
17;0.125;17;[4,16];2;100001;822;0.08405447006225586
17;0.25;34;[0,4,3];3;100005;2484;0.11404085159301758
17;0.5;68;[0,1,5,6,7];5;100008;8409;0.24383020401000977
17;0.75;102;[0,1,3,6,10,12,13];7;100022;75;0.06909537315368652
18;0.125;19;[8,1,9];3;100003;3195;0.12308216094970703
18;0.25;38;[0,1,11,16];4;100000;8892;0.23360681533813477
18;0.5;76;[4,9,14,2,7,15];6;100013;7684;0.2770822048187256
18;0.75;114;[0,1,7,8,9,11,14];7;100012;17;0.07108497619628906
19;0.125;21;[6,7,15];3;100002;3988;0.13317465782165527
19;0.25;42;[12,0,6];3;100001;4092;0.13633489608764648
19;0.5;85;[0,1,2,6,12];5;100006;10508;0.300201416015625
19;0.75;128;[1,3,4,7,12,13,15];7;100021;3337;0.19228458404541016
20;0.125;23;[15,8,13];3;100001;4829;0.16940879821777344
20;0.25;47;[4,8,17];3;100000;5018;0.14705920219421387
20;0.5;95;[1,2,3,9,10];5;100004;11473;0.32278990745544434
20;0.75;142;[0,1,3,6,8,12,13,19];8;100038;505;0.1062169075012207
21;0.125;26;[8,3,10];3;100000;6278;0.17081570625305176
21;0.25;52;[0,20,7];3;100003;6102;0.16504168510437012
21;0.5;105;[9,8,10,16,15];5;100001;11650;0.3307924270629883
21;0.75;157;[1,2,8,9,10,12,13,16,19];9;100049;187;0.07722997665405273
22;0.125;28;[14,18,17];3;100002;7111;0.17589378356933594
22;0.25;57;[0,14,7];3;100000;7326;0.19010710716247559
22;0.5;115;[5,19,16,21,15];5;100005;12337;0.33072853088378906
22;0.75;173;[1,3,4,14,15,16,17,18,19,20];10;100060;153;0.0746297836303711
23;0.125;31;[22,7,11];3;100003;8394;0.22320175170898438
23;0.25;63;[14,8,11];3;100002;8423;0.2080075740814209
23;0.5;126;[20,10,13,17,21,11];6;100007;12274;0.34709596633911133
23;0.75;189;[0,3,4,11,13,18,19,21];8;100003;5226;0.3106822967529297
24;0.125;34;[4,2,10];3;100000;9592;0.2274327278137207
24;0.25;69;[10,18,7,19];4;100000;15112;0.33790159225463867
24;0.5;138;[0,5,9,12,14];5;100012;12678;0.3432159423828125
24;0.75;207;[0,4,5,7,10,19,20,23];8;100004;5313;0.31809115409851074
25;0.125;37;[17,3,11];3;100003;10949;0.2635185718536377
25;0.25;75;[17,19,15,11];4;100002;15789;0.3687722682952881
25;0.5;150;[0,2,12,14,17,22];6;100001;10310;0.346543550491333
25;0.75;225;[1,2,3,6,7,8,13,19,21,24];10;100032;3875;0.28243255615234375
26;0.125;40;[5,2,3];3;100002;11908;0.26007533073425293
26;0.25;81;[3,6,12,23];4;100000;15572;0.32854223251342773
26;0.5;162;[14,8,18,6,2,15];6;100002;12360;0.3572251796722412
26;0.75;243;[1,2,4,6,8,13,15,17,25];9;100003;6138;0.364544153213501
27;0.125;43;[18,7,24];3;100001;13225;0.2823910713195801
27;0.25;87;[26,6,7,19];4;100002;15696;0.3536996841430664
27;0.5;175;[24,20,8,10,26];5;100004;13416;0.38106298446655273
27;0.75;263;[2,5,6,7,14,15,16,24,25];9;100010;6467;0.3358185291290283
28;0.125;47;[23,8,3];3;100001;14304;0.28890156745910645
28;0.25;94;[4,21,17,16];4;100000;15993;0.3544795513153076
28;0.5;189;[0,2,7,11,16,23];6;100001;13248;0.3723931312561035
28;0.75;283;[0,2,7,10,14,15,17,18,23,26];10;100025;5567;0.3410828113555908
29;0.125;50;[2,28,19];3;100002;15181;0.3090376853942871
29;0.25;101;[24,10,27,28];4;100005;16257;0.38922882080078125
29;0.5;203;[9,14,28,21,11];5;100001;13542;0.3671751022338867
29;0.75;304;[0,2,3,5,9,18,20,25,26,28];10;100030;5483;0.37379026412963867
30;0.125;54;[22,16,20];3;100000;16145;0.3469123840332031
30;0.25;108;[9,24,18,12];4;100004;17683;0.41162610054016113
30;0.5;217;[4,25,13,21,7,16,11];7;100006;10858;0.350264310836792
30;0.75;326;[1,2,4,9,11,15,16,27,29];9;100003;6377;0.38103246688842773
31;0.125;58;[8,7,26];3;100002;16864;0.3830275535583496
31;0.25;116;[20,22,30,12];4;100001;17830;0.3833458423614502
31;0.5;232;[22,14,10,26,17,7];6;100014;12326;0.4085395336151123
31;0.75;348;[1,2,4,8,11,14,17,19,25,30];10;100012;4979;0.35476064682006836
32;0.125;62;[20,6,26];3;100003;17429;0.38196706771850586
32;0.25;124;[24,17,2,16];4;100002;17236;0.3877696990966797
32;0.5;248;[9,17,31,27,1,5];6;100001;12320;0.3819613456726074
32;0.75;372;[0,2,5,6,13,14,21,22,24,25,27];11;100027;5113;0.39371538162231445
33;0.125;66;[18,17,19];3;100004;18114;0.3501880168914795
33;0.25;132;[4,13,26,18];4;100004;17912;0.419299840927124
33;0.5;264;[0,9,22,14,17,27];6;100005;11414;0.37264275550842285
33;0.75;396;[4,5,6,13,14,17,22,25,28,31];10;100037;5026;0.37169766426086426
34;0.125;70;[33,18,26];3;100001;18679;0.3685004711151123
34;0.25;140;[24,10,32,5,11];5;100005;15843;0.39562010765075684
34;0.5;280;[24,20,25,29,27,28,11];7;100002;11476;0.4199635982513428
34;0.75;420;[2,4,5,6,11,16,18,19,23];9;100016;6686;0.4001898765563965
