Vertices;Edge_Percentage;Edges;Maximum_Clique;Maximum_Clique_Size;Operations;Attempts;Time
1000000;0.125;7586063;[0,15786,460790];3;500000;1;1.5482959747314453
250;0.25;1273;[20,75,247];3;1000;194;0.005002021789550781
13;0.5;13;[4,5,3];3;1000;248;0.003998756408691406
