Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
4               0.125           0               [2]                                                1                              5001            7               0.004510402679443359
4               0.25            1               [0,3]                                              2                              5003            6               0.0030014514923095703
4               0.5             3               [0,3]                                              2                              5001            6               0.0029981136322021484
4               0.75            4               [0,2]                                              2                              5000            6               0.003668069839477539
5               0.125           1               [4,3]                                              2                              5002            18              0.0029985904693603516
5               0.25            2               [0,3]                                              2                              5000            10              0.0029993057250976562
5               0.5             5               [0,1,4]                                            3                              5010            7               0.0035059452056884766
5               0.75            7               [0,1,3]                                            3                              5003            3               0.0030024051666259766
6               0.125           1               [3,4]                                              2                              5001            35              0.003000020980834961
6               0.25            3               [1,2]                                              2                              5001            7               0.003507852554321289
6               0.5             7               [0,1,2]                                            3                              5000            6               0.0030024051666259766
6               0.75            11              [2,4,5]                                            3                              5016            3               0.003000020980834961
7               0.125           2               [6,2]                                              2                              5008            35              0.0035028457641601562
7               0.25            5               [2,4,5]                                            3                              5003            40              0.0030069351196289062
7               0.5             10              [4,3]                                              2                              5004            21              0.003000020980834961
7               0.75            15              [0,2,3,6]                                          4                              5037            3               0.0035047531127929688
8               0.125           3               [1,6]                                              2                              5000            72              0.004007577896118164
8               0.25            7               [1,2]                                              2                              5001            86              0.004000663757324219
8               0.5             14              [0,1,2,7]                                          4                              5012            9               0.0035059452056884766
8               0.75            21              [0,2,3,4]                                          4                              5007            3               0.0030024051666259766
9               0.125           4               [0,7]                                              2                              5002            110             0.004000186920166016
9               0.25            9               [0,1,5]                                            3                              5006            133             0.0055119991302490234
9               0.5             18              [4,6,3]                                            3                              5006            48              0.003999471664428711
9               0.75            27              [0,1,5,8]                                          4                              5003            13              0.004522085189819336
10              0.125           5               [0,1]                                              2                              5000            159             0.004991769790649414
10              0.25            11              [1,6,7]                                            3                              5004            216             0.0075113773345947266
10              0.5             22              [0,3,6,9]                                          4                              5027            50              0.002998828887939453
10              0.75            33              [0,1,3,5,7]                                        5                              5032            3               0.003509998321533203
11              0.125           6               [0,9]                                              2                              5002            203             0.0060024261474609375
11              0.25            13              [1,3]                                              2                              5000            245             0.0060198307037353516
11              0.5             27              [0,7,9,10]                                         4                              5025            43              0.003999471664428711
11              0.75            41              [1,2,3,4,7,8]                                      6                              5017            4               0.0035109519958496094
12              0.125           8               [7,0]                                              2                              5001            271             0.007998943328857422
12              0.25            16              [2,8,7]                                            3                              5000            509             0.009514093399047852
12              0.5             33              [0,3,5,6]                                          4                              5011            312             0.00950932502746582
12              0.75            49              [0,2,3,4,9,10,11]                                  7                              5023            2               0.003510713577270508
13              0.125           9               [12,7,0]                                           3                              5003            591             0.011513948440551758
13              0.25            19              [0,4,10]                                           3                              5000            579             0.011512041091918945
13              0.5             39              [0,5,6,10,11]                                      5                              5023            263             0.007513284683227539
