Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
4               0.125           0               [1]                                                1                              500001          250001          2.610220193862915
4               0.25            1               [0,3]                                              2                              500000          149970          2.0123097896575928
4               0.5             3               [0,3]                                              2                              500001          145840          1.9597887992858887
4               0.75            4               [0,1]                                              2                              500002          142858          2.0188331604003906
5               0.125           1               [4,3]                                              2                              500001          166671          2.053834915161133
5               0.25            2               [0,3]                                              2                              500001          144415          1.957451581954956
5               0.5             5               [0,1,4]                                            3                              500004          100004          1.6961345672607422
5               0.75            7               [0,1,3]                                            3                              500004          100002          1.7878963947296143
6               0.125           1               [3,4]                                              2                              500000          159133          2.0708844661712646
6               0.25            3               [0,5]                                              2                              500002          127198          1.919985294342041
6               0.5             7               [0,1,2]                                            3                              500000          111060          1.9563918113708496
6               0.75            11              [0,1,3]                                            3                              500003          103134          1.9273788928985596
7               0.125           2               [0,5]                                              2                              500000          142925          1.9584803581237793
7               0.25            5               [2,4,5]                                            3                              500000          122463          1.85878324508667
7               0.5             10              [2,5,6]                                            3                              500003          120175          1.8849401473999023
7               0.75            15              [0,2,3,6]                                          4                              500004          71431           1.8180351257324219
8               0.125           3               [0,7]                                              2                              500001          151929          2.0092575550079346
8               0.25            7               [4,6]                                              2                              500003          124986          1.9116551876068115
8               0.5             14              [0,1,2,7]                                          4                              500001          80283           1.8712780475616455
8               0.75            21              [0,2,3,4]                                          4                              500000          77593           1.9390430450439453
9               0.125           4               [5,8]                                              2                              500005          138536          1.9908676147460938
9               0.25            9               [5,1,0]                                            3                              500000          122589          1.8205981254577637
9               0.5             18              [4,3,6]                                            3                              500000          107539          1.8254115581512451
9               0.75            27              [0,4,5,7,8]                                        5                              500004          74288           1.7757503986358643
10              0.125           5               [0,7]                                              2                              500001          142091          1.9955365657806396
10              0.25            11              [7,1,6]                                            3                              500002          123054          1.8176064491271973
10              0.5             22              [0,5,6,7,9]                                        5                              500001          79647           1.753817081451416
10              0.75            33              [0,1,3,5,7]                                        5                              500000          66005           1.9275126457214355
11              0.125           6               [0,9]                                              2                              500001          146328          2.013484239578247
11              0.25            13              [1,8]                                              2                              500000          128623          1.9903206825256348
11              0.5             27              [0,7,9,10]                                         4                              500004          78574           1.6460025310516357
11              0.75            41              [1,2,3,4,7,8]                                      6                              500002          57680           1.8858146667480469
12              0.125           8               [7,1]                                              2                              500004          143097          2.0250518321990967
12              0.25            16              [7,8,2]                                            3                              500002          122481          1.8292629718780518
12              0.5             33              [0,3,5,6]                                          4                              500002          79085           1.7193231582641602
12              0.75            49              [0,2,3,4,9,10,11]                                  7                              500010          41668           1.9865145683288574
13              0.125           9               [7,12,0]                                           3                              500003          123897          1.8169035911560059
13              0.25            19              [5,2,9]                                            3                              500002          121767          1.8636372089385986
13              0.5             39              [0,5,6,10,11]                                      5                              500000          74628           1.6759922504425049
13              0.75            58              [2,3,4,6,10,12]                                    6                              500010          53197           1.8089711666107178
14              0.125           11              [13,11,10]                                         3                              500001          123735          1.8466289043426514
14              0.25            22              [5,1,11]                                           3                              500002          122383          1.8280854225158691
14              0.5             45              [1,2,4,7,13]                                       5                              500001          73834           1.7189078330993652
14              0.75            68              [2,4,8,9,10,12,13]                                 7                              500001          49546           1.7475943565368652
15              0.125           13              [5,3]                                              2                              500002          140936          1.956754207611084
15              0.25            26              [4,5,3]                                            3                              500003          120321          1.83931565284729
15              0.5             52              [14,12,2,0]                                        4                              500003          77300           1.7307729721069336
15              0.75            78              [0,2,3,11,13,14]                                   6                              500003          51092           1.6904547214508057
