Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
4               0.125           0               [0]                                                1                              5000000         7               3.298588991165161
4               0.25            1               [0,3]                                              2                              5000007         8               2.8722727298736572
4               0.5             3               [0,3]                                              2                              5000001         7               2.846846580505371
4               0.75            4               [0,2]                                              2                              5000002         3               2.893717050552368
5               0.125           1               [4,3]                                              2                              5000002         22              2.9842684268951416
5               0.25            2               [0,3]                                              2                              5000005         10              2.787716865539551
5               0.5             5               [0,1,4]                                            3                              5000010         4               2.781853437423706
5               0.75            7               [0,1,3]                                            3                              5000010         4               2.811723470687866
6               0.125           1               [3,4]                                              2                              5000003         32              3.041599988937378
6               0.25            3               [1,2]                                              2                              5000014         13              2.7886812686920166
6               0.5             7               [0,1,5]                                            3                              5000005         3               2.7864818572998047
6               0.75            11              [0,1,3]                                            3                              5000013         3               2.787315607070923
7               0.125           2               [5,0]                                              2                              5000003         33              2.8279600143432617
7               0.25            5               [4,2]                                              2                              5000003         34              2.843928575515747
7               0.5             10              [5,4]                                              2                              5000001         15              2.832275152206421
7               0.75            15              [0,2,3,6]                                          4                              5000006         6               2.738170862197876
8               0.125           3               [0,3]                                              2                              5000000         72              3.194852828979492
8               0.25            7               [4,6]                                              2                              5000001         90              3.1953611373901367
8               0.5             14              [0,1,2,7]                                          4                              5000006         3               2.9131243228912354
8               0.75            21              [0,2,3,4]                                          4                              5000026         4               2.8817625045776367
9               0.125           4               [0,7]                                              2                              5000000         108             3.208245038986206
9               0.25            9               [5,1,0]                                            3                              5000001         137             3.103003978729248
9               0.5             18              [0,8,6]                                            3                              5000009         60              2.9376914501190186
9               0.75            27              [0,1,5,8]                                          4                              5000022         12              2.895622491836548
10              0.125           5               [2,9]                                              2                              5000002         147             3.19929575920105
10              0.25            11              [7,1,6]                                            3                              5000003         223             3.1376945972442627
10              0.5             22              [5,6,7,9]                                          4                              5000043         65              2.8779869079589844
10              0.75            33              [0,1,3,5,7]                                        5                              5000021         3               2.8728673458099365
11              0.125           6               [0,9]                                              2                              5000002         205             3.20998477935791
11              0.25            13              [0,1]                                              2                              5000002         234             3.2013862133026123
11              0.5             27              [0,7,9,10]                                         4                              5000021         42              2.901310920715332
11              0.75            41              [1,2,3,4,7,8]                                      6                              5000000         10              2.871328115463257
12              0.125           8               [0,7]                                              2                              5000002         280             3.298063039779663
12              0.25            16              [8,2,7]                                            3                              5000002         518             3.1693975925445557
12              0.5             33              [3,6,1,5]                                          4                              5000014         356             2.991783857345581
12              0.75            49              [0,2,3,4,9,10,11]                                  7                              5000024         4               2.905460834503174
13              0.125           9               [0,7,12]                                           3                              5000001         782             3.2049145698547363
13              0.25            19              [8,1,3]                                            3                              5000003         737             3.214282751083374
13              0.5             39              [0,10,6,5,11]                                      5                              5000004         211             2.9706947803497314
13              0.75            58              [10,3,2,6,12]                                      5                              5000023         46              3.0150439739227295
14              0.125           11              [10,13,11]                                         3                              5000004         1106            3.194654703140259
14              0.25            22              [1,5,11]                                           3                              5000001         1045            3.178928852081299
14              0.5             45              [0,2,4,7,13]                                       5                              5000015         747             3.0426154136657715
14              0.75            68              [0,1,4,5,9,13]                                     6                              5000007         3               2.961446523666382
15              0.125           13              [1,10]                                             2                              5000000         558             3.2921202182769775
15              0.25            26              [5,8,3]                                            3                              5000003         1428            3.1982972621917725
15              0.5             52              [0,1,3,12]                                         4                              5000002         4416            3.223898410797119
15              0.75            78              [0,2,3,11,13,14]                                   6                              5000036         98              2.9798569679260254
16              0.125           15              [15,0,13]                                          3                              5000004         1852            3.3217082023620605
16              0.25            30              [14,10,13,5]                                       4                              5000001         5436            3.4564836025238037
16              0.5             60              [4,9,8,2,7]                                        5                              5000008         9478            3.5518503189086914
16              0.75            90              [0,3,9,10,11,14,15]                                7                              5000004         54              3.1744019985198975
17              0.125           17              [4,3]                                              2                              5000001         823             3.504436731338501
17              0.25            34              [16,8,13]                                          3                              5000001         2449            3.426730155944824
17              0.5             68              [0,1,5,7,14]                                       5                              5000005         13249           3.6523399353027344
17              0.75            102             [0,1,3,6,10,12,13]                                 7                              5000001         79              3.2218945026397705
18              0.125           19              [8,1,9]                                            3                              5000002         3115            3.4245049953460693
18              0.25            38              [0,1,11,16]                                        4                              5000002         9937            3.57179856300354
18              0.5             76              [2,4,7,8,14,15]                                    6                              5000001         19486           3.795241355895996
18              0.75            114             [0,1,7,8,9,11,14]                                  7                              5000036         3               3.2270541191101074
19              0.125           21              [18,13,11]                                         3                              5000001         3945            3.490715980529785
19              0.25            42              [4,0,8]                                            3                              5000002         4077            3.5172014236450195
19              0.5             85              [0,1,3,13,14]                                      5                              5000000         29960           4.0847930908203125
19              0.75            128             [0,3,5,6,11,16,17]                                 7                              5000005         3620            3.4221975803375244
20              0.125           23              [15,8,13]                                          3                              5000000         4936            3.5566658973693848
20              0.25            47              [2,6,0]                                            3                              5000002         5051            3.528787851333618
20              0.5             95              [9,10,3,2,1]                                       5                              5000000         41760           4.318874359130859
20              0.75            142             [0,1,6,8,11,12,13,19]                              8                              5000028         500             3.322465419769287
21              0.125           26              [8,1,3]                                            3                              5000003         6116            3.4856724739074707
21              0.25            52              [4,10,19]                                          3                              5000001         6205            3.4953453540802
21              0.5             105             [4,20,17,6,5,15]                                   6                              5000003         140848          6.799796104431152
21              0.75            157             [1,2,8,9,10,12,13,16,19]                           9                              5000003         393             3.3257510662078857
22              0.125           28              [14,18,17]                                         3                              5000002         7390            3.52945876121521
22              0.25            57              [4,17,20]                                          3                              5000002         7744            3.5393452644348145
22              0.5             115             [2,5,15,16,21]                                     5                              5000005         78409           5.019721508026123
22              0.75            173             [1,3,4,14,15,16,17,18,19,20]                       10                             5000039         687             3.30663800239563
23              0.125           31              [22,7,11]                                          3                              5000002         9059            3.6245813369750977
23              0.25            63              [22,15,20]                                         3                              5000000         9113            3.6716561317443848
23              0.5             126             [20,10,13,17,7,21]                                 6                              5000005         254254          9.19953179359436
23              0.75            189             [0,2,3,4,15,18,19,21]                              8                              5000001         94600           7.352479457855225
24              0.125           34              [22,0,19]                                          3                              5000002         10972           3.661518096923828
24              0.25            69              [8,13,6,16]                                        4                              5000002         46104           4.289820194244385
24              0.5             138             [9,22,8,2,7]                                       5                              5000004         146933          6.581037759780884
24              0.75            207             [0,1,4,7,10,11,14,23]                              8                              5000006         205236          12.089086294174194
25              0.125           37              [15,8,23]                                          3                              5000001         12838           3.6948461532592773
25              0.25            75              [7,19,15,11]                                       4                              5000001         62582           4.5638182163238525
25              0.5             150             [0,2,4,14,17,22]                                   6                              5000003         360671          11.95021653175354
25              0.75            225             [1,2,3,6,7,8,10,14,19,21]                          10                             5000052         9599            3.9179491996765137
26              0.125           40              [14,17,6]                                          3                              5000000         15127           3.8104982376098633
26              0.25            81              [3,6,12,23]                                        4                              5000000         73316           4.84778618812561
26              0.5             162             [22,10,6,19,16,5]                                  6                              5000007         414026          12.75082278251648
26              0.75            243             [0,1,2,3,12,13,18,19,20]                           9                              5000006         286972          14.839792251586914
27              0.125           43              [4,24,7]                                           3                              5000001         18131           3.812324047088623
27              0.25            87              [10,13,26,7]                                       4                              5000001         88427           5.061974287033081
27              0.5             175             [1,6,7,8,12,19]                                    6                              5000000         482721          13.689819574356079
27              0.75            263             [2,5,6,7,14,15,16,24,25]                           9                              5000008         315028          14.92282485961914
28              0.125           47              [4,21,23]                                          3                              5000001         20714           3.9339046478271484
28              0.25            94              [26,6,5,15]                                        4                              5000003         107312          5.4588775634765625
28              0.5             189             [0,2,7,11,16,23]                                   6                              5000004         480156          14.524595260620117
28              0.75            283             [0,2,7,10,14,15,17,18,23,26]                       10                             5000007         227331          14.403013944625854
29              0.125           50              [0,26,20]                                          3                              5000002         24138           3.980198383331299
29              0.25            101             [26,21,5,15]                                       4                              5000001         129255          5.786443710327148
29              0.5             203             [24,3,6,1,15]                                      5                              5000004         395130          11.346962690353394
29              0.75            304             [0,2,3,5,9,18,20,25,26,28]                         10                             5000000         256359          15.847895383834839
30              0.125           54              [12,27,6]                                          3                              5000003         27583           4.0528178215026855
30              0.25            108             [24,8,10,6]                                        4                              5000000         158991          6.290245771408081
30              0.5             217             [4,25,13,7,16,21,11]                               7                              5000003         511412          15.107029914855957
30              0.75            326             [0,7,8,12,15,17,19,21,26,28]                       10                             5000026         289719          16.36737823486328
31              0.125           58              [1,15,26]                                          3                              5000000         31630           4.294935464859009
31              0.25            116             [22,25,6,16]                                       4                              5000003         185649          6.869012117385864
31              0.5             232             [0,24,14,27,30,28]                                 6                              5000002         511612          15.028993844985962
31              0.75            348             [1,2,4,6,10,11,14,17,25,26]                        10                             5000025         245694          16.20416259765625
32              0.125           62              [1,6,11]                                           3                              5000000         36192           4.3989996910095215
32              0.25            124             [24,8,3,26,18]                                     5                              5000002         524362          12.832202911376953
32              0.5             248             [1,5,9,17,26,27,31]                                7                              5000009         530864          15.853476524353027
32              0.75            372             [0,2,3,5,6,9,13,14,21,24,25]                       11                             5000004         251863          16.900004625320435
33              0.125           66              [4,8,17]                                           3                              5000003         41194           4.545908451080322
33              0.25            132             [9,8,29,16]                                        4                              5000000         250802          8.1158926486969
33              0.5             264             [0,9,22,14,17,27,28]                               7                              5000004         535339          16.067562341690063
33              0.75            396             [0,4,6,12,13,14,20,22,25,29,31]                    11                             5000007         258283          16.50429368019104
34              0.125           70              [26,33,18,12]                                      4                              5000001         309190          8.710055828094482
34              0.25            140             [24,14,10,32,11]                                   5                              5000000         585983          14.124644994735718
34              0.5             280             [4,24,25,26,29,28,11]                              7                              5000007         535672          16.412071704864502
34              0.75            420             [2,4,5,6,11,16,18,19,23]                           9                              5000001         335011          17.526408433914185
