Vertices;Edge_Percentage;Edges;Maximum_Clique;Maximum_Clique_Size;Operations;Attempts;Time
4;0.125;0;[0];1;5001;1251;0.01565241813659668
4;0.25;1;[0,3];2;5005;440;0.009521484375
4;0.5;3;[0,3];2;5010;421;0.00751948356628418
4;0.75;4;[0,1];2;5000;402;0.009116411209106445
5;0.125;1;[4,3];2;5002;557;0.014520645141601562
5;0.25;2;[0,3];2;5023;394;0.010560274124145508
5;0.5;5;[0,1,4];3;5017;206;0.006476640701293945
5;0.75;7;[0,1,3];3;5004;204;0.0055124759674072266
6;0.125;1;[3,4];2;5004;481;0.0100250244140625
6;0.25;3;[0,5];2;5033;285;0.0065114498138427734
6;0.5;7;[0,1,2];3;5010;239;0.005510807037353516
6;0.75;11;[0,1,3];3;5010;204;0.0070056915283203125
7;0.125;2;[0,5];2;5002;368;0.0060367584228515625
7;0.25;5;[2,4,5];3;5013;295;0.00599980354309082
7;0.5;10;[2,5,6];3;5012;276;0.005054950714111328
7;0.75;15;[0,2,3,6];4;5010;104;0.0030007362365722656
8;0.125;3;[0,3];2;5006;331;0.0050203800201416016
8;0.25;7;[7,4];2;5004;303;0.006001710891723633
8;0.5;14;[0,1,2,7];4;5057;125;0.004035234451293945
8;0.75;21;[0,2,3,4];4;5052;117;0.0029990673065185547
9;0.125;4;[2,7];2;5015;338;0.005039691925048828
9;0.25;9;[0,1,5];3;5007;295;0.0050008296966552734
9;0.5;18;[8,1,6];3;5003;206;0.0035033226013183594
9;0.75;27;[4,5,6,7,8];5;5030;111;0.0030074119567871094
10;0.125;5;[0,1];2;5017;357;0.004998207092285156
10;0.25;11;[7,1,6];3;5011;291;0.005087375640869141
10;0.5;22;[0,5,7,9];4;5005;120;0.0020003318786621094
10;0.75;33;[0,1,3,5,7];5;5022;85;0.001999378204345703
11;0.125;6;[0,9];2;5000;366;0.0050661563873291016
11;0.25;13;[7,3];2;5006;297;0.004000425338745117
11;0.5;27;[0,7,9,10];4;5000;119;0.0030984878540039062
11;0.75;41;[1,2,3,4,7,8];6;5049;69;0.0019998550415039062
12;0.125;8;[0,6];2;5029;368;0.00600123405456543
12;0.25;16;[8,9,10];3;5027;290;0.0045108795166015625
12;0.5;33;[0,3,5,6];4;5021;107;0.002001523971557617
12;0.75;49;[0,2,3,4,9,10,11];7;5076;36;0.0010018348693847656
13;0.125;9;[12,7,0];3;5005;341;0.005515336990356445
13;0.25;19;[1,3,8];3;5005;300;0.0049991607666015625
13;0.5;39;[0,5,6,10,11];5;5000;99;0.0019991397857666016
13;0.75;58;[0,2,6,8,12];5;5035;75;0.0020339488983154297
14;0.125;11;[11,13,10];3;5008;317;0.005002260208129883
14;0.25;22;[1,11,5];3;5036;287;0.004183053970336914
14;0.5;45;[0,2,4,7,13];5;5010;101;0.0029997825622558594
14;0.75;68;[0,1,4,5,9,13];6;5162;55;0.0019998550415039062
15;0.125;13;[5,3];2;5008;393;0.008516788482666016
15;0.25;26;[8,9,3];3;5003;283;0.004999876022338867
15;0.5;52;[0,1,2,12];4;5049;122;0.003070354461669922
15;0.75;78;[0,2,3,11,13,14];6;5096;47;0.0010013580322265625
16;0.125;15;[0,13,6];3;5002;320;0.005001068115234375
16;0.25;30;[7,9,3];3;5014;284;0.005202293395996094
16;0.5;60;[2,4,7,8,9];5;5006;116;0.0020012855529785156
16;0.75;90;[0,3,6,9,10,11,14,15];8;5068;38;0.001998424530029297
17;0.125;17;[14,4];2;5003;354;0.005780935287475586
17;0.25;34;[7,2,10];3;5007;294;0.006269931793212891
17;0.5;68;[0,1,5,6,7];5;5004;115;0.0019979476928710938
17;0.75;102;[0,1,3,6,10,12,13];7;5049;47;0.0019969940185546875
18;0.125;19;[1,8];2;5002;331;0.005002260208129883
18;0.25;38;[0,1,9];3;5018;266;0.0050508975982666016
18;0.5;76;[1,2,7,15];4;5009;102;0.0020008087158203125
18;0.75;114;[0,4,6,7,8,10,12];7;5217;46;0.0019981861114501953
19;0.125;21;[14,16];2;5002;356;0.006206035614013672
19;0.25;42;[16,5,6];3;5012;286;0.004510164260864258
19;0.5;85;[0,1,2,6,12];5;5005;97;0.003004789352416992
19;0.75;128;[0,3,5,6,11,16,17];7;5226;58;0.002004861831665039
20;0.125;23;[13,15,8];3;5015;315;0.004995107650756836
20;0.25;47;[7,16,3];3;5007;290;0.004155397415161133
20;0.5;95;[4,9,18,17];4;5001;117;0.0030012130737304688
20;0.75;142;[0,1,3,10,12,15,17,19];8;5261;31;0.000997781753540039
21;0.125;26;[8,3,10];3;5001;311;0.005280494689941406
21;0.25;52;[8,19,10];3;5013;275;0.0050008296966552734
21;0.5;105;[1,15,9,8,6];5;5119;95;0.002510547637939453
21;0.75;157;[1,2,6,7,8,13,16,19];8;5212;44;0.0020029544830322266
22;0.125;28;[10,7,3];3;5015;304;0.005998134613037109
22;0.25;57;[13,21,9];3;5003;263;0.006515026092529297
22;0.5;115;[1,19,5,13];4;5009;137;0.0029993057250976562
22;0.75;173;[12,4,19,15,18,16,3];7;5126;32;0.0015077590942382812
23;0.125;31;[4,8];2;5015;324;0.006000518798828125
23;0.25;63;[15,4,10];3;5013;278;0.0040514469146728516
23;0.5;126;[20,4,11,3];4;5059;109;0.0030019283294677734
23;0.75;189;[22,11,17,8,21,6];6;5081;56;0.0020804405212402344
24;0.125;34;[2,4,10];3;5002;297;0.005112409591674805
24;0.25;69;[18,19,7];3;5013;269;0.003998517990112305
24;0.5;138;[12,14,0,9];4;5030;106;0.0030031204223632812
24;0.75;207;[0,4,7,10,11,14,18,23];8;5076;28;0.0019969940185546875
25;0.125;37;[7,19,24];3;5013;299;0.0065135955810546875
25;0.25;75;[8,4,24];3;5012;274;0.004515409469604492
25;0.5;150;[12,20,10,18];4;5005;105;0.003000974655151367
25;0.75;225;[0,2,5,7,8,10,17,23,24];9;5364;27;0.0020012855529785156
26;0.125;40;[14,6,17];3;5006;345;0.005509138107299805
26;0.25;81;[5,24,9];3;5007;268;0.003999233245849609
26;0.5;162;[14,11,18,8];4;5085;117;0.0029997825622558594
26;0.75;243;[0,1,2,3,6,8,13,15];8;5064;26;0.0015058517456054688
27;0.125;43;[15,1,26];3;5014;319;0.005011558532714844
27;0.25;87;[4,13,6];3;5004;261;0.00499415397644043
27;0.5;175;[12,1,19,7,6];5;5089;137;0.0025129318237304688
27;0.75;263;[1,3,6,10,11,16,17,23];8;5254;33;0.0019986629486083984
28;0.125;47;[8,23,3];3;5001;296;0.004001617431640625
28;0.25;94;[2,23,16];3;5008;254;0.006515979766845703
28;0.5;189;[14,4,19,6];4;5040;105;0.003003835678100586
28;0.75;283;[0,1,2,5,13,16,26];7;5220;42;0.0035135746002197266
29;0.125;50;[14,5,16];3;5011;303;0.007004737854003906
29;0.25;101;[4,10,27];3;5002;270;0.004515647888183594
29;0.5;203;[14,1,19,15,9];5;5018;96;0.004000186920166016
29;0.75;304;[2,3,5,9,13,18,20,26];8;5224;43;0.0010001659393310547
30;0.125;54;[22,29];2;5017;346;0.008031129837036133
30;0.25;108;[5,22,0];3;5007;270;0.004516124725341797
30;0.5;217;[14,5,11,16,17];5;5003;108;0.0030035972595214844
30;0.75;326;[0,1,8,10,15,25,29];7;5011;44;0.0019998550415039062
31;0.125;58;[12,23,19];3;5013;296;0.006517648696899414
31;0.25;116;[25,27,6];3;5010;264;0.004997730255126953
31;0.5;232;[14,19,15,0,28];5;5064;107;0.0035135746002197266
31;0.75;348;[1,4,8,11,12,17,19,30];8;5017;35;0.0009984970092773438
32;0.125;62;[25,19,8];3;5006;311;0.006004810333251953
32;0.25;124;[7,26,3];3;5013;250;0.004513978958129883
32;0.5;248;[1,5,26,31];4;5003;125;0.0029985904693603516
32;0.75;372;[2,5,6,9,13,24,25,27];8;5041;35;0.002001523971557617
33;0.125;66;[29,15,4];3;5014;296;0.005517721176147461
33;0.25;132;[1,21,31];3;5008;268;0.005000114440917969
33;0.5;264;[1,5,3,11,26];5;5035;116;0.0025038719177246094
33;0.75;396;[0,1,3,7,11,13,21,30];8;5002;28;0.002008676528930664
34;0.125;70;[33,12,26];3;5001;306;0.005001068115234375
34;0.25;140;[18,13,10];3;5009;269;0.005515336990356445
34;0.5;280;[12,31,27,9,24];5;5047;93;0.0019998550415039062
34;0.75;420;[0,4,7,12,14,16,22,25];8;5010;39;0.002001047134399414
