Vertices;Edge_Percentage;Edges;Maximum_Clique;Maximum_Clique_Size;Operations;Attempts;Time
4;0.125;0;[0];1;5000001;1250001;15.72789216041565
4;0.25;1;[0,3];2;5000012;441102;6.904181480407715
4;0.5;3;[0,3];2;5000014;416575;6.470885515213013
4;0.75;4;[0,2];2;5000004;400001;6.626538276672363
5;0.125;1;[4,3];2;5000001;555558;8.052247524261475
5;0.25;2;[0,3];2;5000007;394077;6.20015025138855
5;0.5;5;[0,1,4];3;5000004;200002;3.8478610515594482
5;0.75;7;[0,1,3];3;5000000;200003;4.107884168624878
6;0.125;1;[3,4];2;5000012;485765;7.402136564254761
6;0.25;3;[0,5];2;5000025;287392;5.022846221923828
6;0.5;7;[0,1,2];3;5000034;238278;4.916094541549683
6;0.75;11;[0,1,3];3;5000001;204343;4.417804718017578
7;0.125;2;[2,6];2;5000004;361633;5.817403554916382
7;0.25;5;[2,4,5];3;5000009;295407;5.142904281616211
7;0.5;10;[2,5,6];3;5000004;281392;5.009706735610962
7;0.75;15;[0,2,3,6];4;5000005;102042;3.0116868019104004
8;0.125;3;[0,3];2;5000033;344479;5.730467319488525
8;0.25;7;[7,1];2;5000004;297753;5.118116855621338
8;0.5;14;[0,1,2,7];4;5000012;121940;3.2673351764678955
8;0.75;21;[0,2,4,7];4;5000013;114234;3.2201972007751465
9;0.125;4;[0,7];2;5000007;333460;5.582744121551514
9;0.25;9;[0,1,5];3;5000014;285917;4.944478988647461
9;0.5;18;[4,8,6];3;5000052;206817;4.016753673553467
9;0.75;27;[3,4,5,6,7];5;5000018;106492;2.8650190830230713
10;0.125;5;[1,3];2;5000006;345615;5.6328284740448
10;0.25;11;[7,1,6];3;5000010;287562;4.9568188190460205
10;0.5;22;[0,5,6,7,9];5;5000024;123141;3.033123731613159
10;0.75;33;[0,1,3,5,7];5;5000070;81855;2.675153970718384
11;0.125;6;[0,9];2;5000003;353229;5.797856569290161
11;0.25;13;[0,4];2;5000006;298245;5.200523376464844
11;0.5;27;[0,7,9,10];4;5000019;113129;2.6067473888397217
11;0.75;41;[1,2,3,4,7,8];6;5000071;63455;2.2841498851776123
12;0.125;8;[7,0];2;5000004;369487;5.997359275817871
12;0.25;16;[7,2,8];3;5000014;286419;4.871239900588989
12;0.5;33;[0,3,5,6];4;5000007;105073;2.6091935634613037
12;0.75;49;[0,2,3,4,9,10,11];7;5000004;34723;1.826047658920288
13;0.125;9;[12,7,0];3;5000012;300418;5.0973756313323975
13;0.25;19;[8,1,3];3;5000014;292750;5.065763235092163
13;0.5;39;[0,5,6,10,11];5;5000142;105034;2.6534037590026855
13;0.75;58;[2,3,4,6,9,12];6;5000141;51638;2.0028417110443115
14;0.125;11;[11,13,10];3;5000002;306377;5.173144102096558
14;0.25;22;[11,5,6];3;5000011;292595;4.976436138153076
14;0.5;45;[0,2,4,7,13];5;5000010;102503;2.494405746459961
14;0.75;68;[1,4,5,9,10,12,13];7;5000069;45425;1.738722324371338
15;0.125;13;[12,6];2;5000007;370212;5.775713920593262
15;0.25;26;[14,8,9];3;5000012;277003;4.965323448181152
15;0.5;52;[0,3,9,10];4;5000006;102567;2.603435754776001
15;0.75;78;[0,2,3,11,13,14];6;5000019;45898;1.685779333114624
16;0.125;15;[0,13,15];3;5000002;305351;4.934847116470337
16;0.25;30;[14,10,13,7];4;5000007;154992;3.048184633255005
16;0.5;60;[4,11,9,8,2];5;5000142;111469;2.6057016849517822
16;0.75;90;[0,3,6,9,10,11,14,15];8;5000046;36881;1.5228853225708008
17;0.125;17;[7,13];2;5000016;361367;5.542381048202515
17;0.25;34;[7,2,10];3;5000000;286950;4.693225145339966
17;0.5;68;[0,1,5,6,7];5;5000018;110730;2.64925479888916
17;0.75;102;[0,1,3,6,10,12,13];7;5000000;42416;1.6919329166412354
18;0.125;19;[8,1,9];3;5000007;309433;4.96281099319458
18;0.25;38;[1,11,0,16];4;5000003;166306;3.2689075469970703
18;0.5;76;[14,4,15,8,2,7];6;5000019;69054;1.9305808544158936
18;0.75;114;[0,1,7,8,9,11,14];7;5000023;40347;1.6579370498657227
19;0.125;21;[11,18,13];3;5000000;306405;4.960277318954468
19;0.25;42;[4,11,1];3;5000003;278295;4.639215707778931
19;0.5;85;[14,4,0,16,6];5;5000030;107435;2.657284736633301
19;0.75;128;[12,1,3,10,9,16,13,17];8;5000137;35945;1.512726068496704
20;0.125;23;[8,15,13];3;5000004;308035;5.0043699741363525
20;0.25;47;[7,16,13];3;5000005;283044;4.737424850463867
20;0.5;95;[1,2,3,9,10];5;5000031;111835;2.681619644165039
20;0.75;142;[0,1,3,6,8,12,13,19];8;5000288;28839;1.4602961540222168
21;0.125;26;[8,1,3];3;5000004;308432;5.049655199050903
21;0.25;52;[5,2,1];3;5000007;286348;4.773616552352905
21;0.5;105;[20,5,15,13,17,6];6;5000020;80700;2.13956356048584
21;0.75;157;[12,1,19,10,9,16,13,8,2];9;5000082;33164;1.4990220069885254
22;0.125;28;[15,16,3];3;5000000;303470;5.021241188049316
22;0.25;57;[8,21,9];3;5000009;276107;4.7329535484313965
22;0.5;115;[5,15,16,2,21];5;5000013;120650;2.787091016769409
22;0.75;173;[1,3,4,14,15,16,17,18,19,21];10;5000371;23569;1.233529806137085
23;0.125;31;[7,0,22];3;5000012;309430;5.102517127990723
23;0.25;63;[12,11,9];3;5000007;289371;4.9135212898254395
23;0.5;126;[20,10,17,13,7,21];6;5000046;85937;2.209942579269409
23;0.75;189;[0,2,3,4,15,18,19,21];8;5000173;32820;1.445863962173462
24;0.125;34;[14,8,19];3;5000001;308265;5.078822612762451
24;0.25;69;[19,10,18,7];4;5000010;168913;3.3261632919311523
24;0.5;138;[1,7,10,19,23];5;5000023;111581;2.705587863922119
24;0.75;207;[0,1,4,7,10,12,19,20];8;5000299;29570;1.4389102458953857
25;0.125;37;[24,7,19];3;5000003;307741;5.127878189086914
25;0.25;75;[19,15,11,7];4;5000024;174833;3.492724657058716
25;0.5;150;[0,2,12,14,17,22];6;5000007;72022;2.0190863609313965
25;0.75;225;[1,2,3,6,7,8,10,14,19,21];10;5000029;21675;1.290806531906128
26;0.125;40;[14,17,6];3;5000010;310436;5.135646104812622
26;0.25;81;[12,20,23,18];4;5000008;160259;3.2630512714385986
26;0.5;162;[2,6,8,15,16,18];6;5000016;80761;2.1512603759765625
26;0.75;243;[0,2,3,6,8,13,15,21,24];9;5000144;33343;1.5377066135406494
27;0.125;43;[7,4,24];3;5000010;308772;5.165338039398193
27;0.25;87;[19,26,7,6];4;5000008;168462;3.35516095161438
27;0.5;175;[1,6,7,8,12,19];6;5000161;74403;2.04770827293396
27;0.75;263;[2,5,6,7,14,15,16,24,25];9;5000051;31536;1.4835515022277832
28;0.125;47;[23,4,21];3;5000002;305941;5.064219951629639
28;0.25;94;[14,23,26,6];4;5000018;164918;3.2947967052459717
28;0.5;189;[0,2,7,11,16,23];6;5000012;77650;2.128159284591675
28;0.75;283;[0,2,7,10,14,15,17,18,23,26];10;5000041;25105;1.3180255889892578
29;0.125;50;[14,5,21];3;5000005;307789;5.136159181594849
29;0.25;101;[27,10,28,24];4;5000004;166554;3.356048107147217
29;0.5;203;[14,20,25,17,16];5;5000030;112308;2.663545608520508
29;0.75;304;[0,3,4,5,9,18,20,25,26,28];10;5000064;25191;1.3628852367401123
30;0.125;54;[20,21,24];3;5000013;306258;5.13032341003418
30;0.25;108;[12,9,18,24];4;5000000;168792;3.362959384918213
30;0.5;217;[25,4,11,13,16,7,21];7;5000026;75102;2.0886662006378174
30;0.75;326;[2,3,4,7,12,15,17,27,28];9;5000398;33935;1.5228283405303955
31;0.125;58;[15,1,26];3;5000008;307778;5.139305114746094
31;0.25;116;[12,20,22,30];4;5000067;161598;3.2895021438598633
31;0.5;232;[14,27,10,15,2,6];6;5000015;72812;2.059506893157959
31;0.75;348;[1,2,4,6,10,11,14,17,25,26];10;5000248;21920;1.2810602188110352
32;0.125;62;[8,25,19];3;5000000;307442;5.191602468490601
32;0.25;124;[20,5,28,30];4;5000020;165814;3.3802096843719482
32;0.5;248;[1,5,31,9,26,17,27];7;5000036;83577;2.191840887069702
32;0.75;372;[0,2,3,5,6,13,14,21,22,24,25];11;5000095;25299;1.3552050590515137
33;0.125;66;[15,4,17];3;5000000;307245;5.273849725723267
33;0.25;132;[12,25,13,2];4;5000020;163528;3.3955888748168945
33;0.5;264;[14,27,22,0,9,17,28];7;5000038;74774;2.0854547023773193
33;0.75;396;[0,4,6,12,13,14,20,22,25,29,31];11;5000008;22124;1.2602250576019287
34;0.125;70;[33,12,18,26];4;5000002;190663;3.676093816757202
34;0.25;140;[14,10,11,24,32];5;5000000;145439;3.061694622039795
34;0.5;280;[25,11,29,24,28,26,27];7;5000129;73664;2.1214675903320312
34;0.75;420;[0,3,4,8,15,16,19,25,27];9;5000250;32368;1.5115163326263428
