Vertices;Edge_Percentage;Edges;Maximum_Clique;Maximum_Clique_Size;Operations;Attempts;Time
4;0.125;0;[0];1;1001;7;0.0005037784576416016
4;0.25;1;[0,3];2;1007;7;0.0010039806365966797
4;0.5;3;[0,3];2;1005;3;0.0010042190551757812
4;0.75;4;[0,1];2;1001;3;0.0
5;0.125;1;[4,3];2;1000;12;0.00099945068359375
5;0.25;2;[0,3];2;1023;14;0.0010008811950683594
5;0.5;5;[0,1,4];3;1003;7;0.0009992122650146484
5;0.75;7;[0,1,3];3;1000;4;0.0
6;0.125;1;[3,4];2;1004;38;0.001003265380859375
6;0.25;3;[1,2];2;1000;16;0.0009970664978027344
6;0.5;7;[0,1,2];3;1007;4;0.0009996891021728516
6;0.75;11;[0,1,3];3;1007;3;0.0
7;0.125;2;[0,5];2;1013;33;0.0015823841094970703
7;0.25;5;[2,5];2;1010;28;0.0009288787841796875
7;0.5;10;[2,5,6];3;1008;24;0.000997304916381836
7;0.75;15;[0,2,3,6];4;1005;5;0.0009992122650146484
8;0.125;3;[1,6];2;1003;71;0.002000570297241211
8;0.25;7;[1,2];2;1000;81;0.002000093460083008
8;0.5;14;[0,1,2,7];4;1000;6;0.0009989738464355469
8;0.75;21;[0,2,3,4];4;1001;7;0.0
9;0.125;4;[7,0];2;1001;98;0.0020017623901367188
9;0.25;9;[5,1,0];3;1000;104;0.002214193344116211
9;0.5;18;[8,1,6];3;1014;71;0.001999378204345703
9;0.75;27;[0,1,5,8];4;1004;9;0.0010001659393310547
10;0.125;5;[1,3];2;1002;129;0.003000020980834961
10;0.25;11;[1,6,7];3;1003;139;0.0025043487548828125
10;0.5;22;[3,6,9];3;1025;3;0.001004934310913086
10;0.75;33;[0,1,3,5,7];5;1008;3;0.0010037422180175781
11;0.125;6;[1,8];2;1002;158;0.0019998550415039062
11;0.25;13;[6,3];2;1001;158;0.004000186920166016
11;0.5;27;[0,7,9,10];4;1025;80;0.0015025138854980469
11;0.75;41;[1,2,3,4,7,8];6;1044;12;0.0010039806365966797
12;0.125;8;[0,7];2;1001;183;0.004003286361694336
12;0.25;16;[8,2,7];3;1000;197;0.0030002593994140625
12;0.5;33;[1,3,5,6];4;1013;102;0.0025072097778320312
12;0.75;49;[0,2,3,4,9,10,11];7;1016;4;0.0009996891021728516
13;0.125;9;[12,0,7];3;1003;200;0.0040035247802734375
13;0.25;19;[0,4,10];3;1001;190;0.003999471664428711
13;0.5;39;[10,6,1,5,11];5;1000;101;0.0025129318237304688
13;0.75;58;[0,2,6,9,11];5;1021;30;0.002000570297241211
14;0.125;11;[10,13,11];3;1003;232;0.0029993057250976562
14;0.25;22;[1,5,11];3;1003;202;0.0045087337493896484
14;0.5;45;[0,2,4,7,13];5;1006;96;0.0029990673065185547
14;0.75;68;[0,1,4,5,9,13];6;1015;4;0.0010004043579101562
15;0.125;13;[4,3];2;1002;211;0.003999233245849609
15;0.25;26;[0,7,13];3;1000;199;0.005109071731567383
15;0.5;52;[14,13,2,11];4;1008;117;0.003999233245849609
15;0.75;78;[0,2,3,11,13,14];6;1004;39;0.002511262893676758
16;0.125;15;[6,0,13];3;1000;227;0.005004167556762695
16;0.25;30;[1,2,12];3;1002;208;0.0035049915313720703
16;0.5;60;[2,3,8,9,11];5;1002;120;0.004004955291748047
16;0.75;90;[0,3,6,9,10,11,15];7;1024;24;0.0010004043579101562
17;0.125;17;[4,14];2;1002;237;0.003999233245849609
17;0.25;34;[0,9,3];3;1003;213;0.0033795833587646484
17;0.5;68;[0,1,5,6,7];5;1005;128;0.0030012130737304688
17;0.75;102;[0,1,3,6,10,12,13];7;1017;45;0.0029993057250976562
18;0.125;19;[9,8,1];3;1001;226;0.0035102367401123047
18;0.25;38;[0,16,1];3;1001;211;0.004003763198852539
18;0.5;76;[4,8,7,2,15];5;1004;128;0.0030002593994140625
18;0.75;114;[0,1,7,8,9,11,14];7;1012;54;0.002507925033569336
19;0.125;21;[6,7,15];3;1000;234;0.0040056705474853516
19;0.25;42;[18,8,10];3;1002;212;0.004504680633544922
19;0.5;85;[0,1,2,6,12];5;1006;132;0.003007173538208008
