Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
25              0.125           37              [15,23,8]                                          3                              5000            1320            0.021025419235229492
25              0.25            75              [9,8,20]                                           3                              5003            1218            0.02054452896118164
25              0.5             150             [23,9,10,12,15]                                    5                              5003            764             0.016650915145874023
25              0.75            225             [1,2,3,6,7,8,10,14,19,21]                          10                             5000            388             0.0186004638671875
26              0.125           40              [14,6,17]                                          3                              5002            1305            0.020389556884765625
26              0.25            81              [23,18,12,20]                                      4                              5003            930             0.01755809783935547
26              0.5             162             [9,18,14,2,6]                                      5                              5009            772             0.017260313034057617
26              0.75            243             [0,2,3,6,8,13,15,21,24]                            9                              5001            432             0.018697023391723633
27              0.125           43              [24,7,18]                                          3                              5003            1250            0.019153594970703125
27              0.25            87              [9,17,24,20]                                       4                              5003            1050            0.017559528350830078
27              0.5             175             [9,14,8,22,15]                                     5                              5003            763             0.01802992820739746
27              0.75            263             [1,8,10,16,17,19,21,25]                            8                              5008            414             0.018718719482421875
28              0.125           47              [22,23,8]                                          3                              5000            1252            0.01865243911743164
28              0.25            94              [23,9,8,2]                                         4                              5000            1049            0.01802372932434082
28              0.5             189             [9,2,11,13,12]                                     5                              5010            776             0.016489267349243164
28              0.75            283             [0,2,5,7,10,13,14,23,26]                           9                              5006            409             0.01902294158935547
29              0.125           50              [5,14,21]                                          3                              5000            1336            0.019023895263671875
29              0.25            101             [6,15,3]                                           3                              5003            1208            0.018535614013671875
29              0.5             203             [23,26,22,13,7]                                    5                              5005            779             0.017070531845092773
29              0.75            304             [0,2,3,5,9,13,18,20,26]                            9                              5003            425             0.018729448318481445
30              0.125           54              [7,15,0]                                           3                              5002            1314            0.019583463668823242
30              0.25            108             [5,8,22]                                           3                              5003            1207            0.019550323486328125
30              0.5             217             [26,9,18,5,2,29]                                   6                              5012            716             0.017025470733642578
30              0.75            326             [2,4,9,11,16,18,22,27,29]                          9                              5003            425             0.019198894500732422
31              0.125           58              [1,15,27]                                          3                              5002            1252            0.019030094146728516
31              0.25            116             [24,14,12]                                         3                              5000            1207            0.01954817771911621
31              0.5             232             [26,22,2,10,15]                                    5                              5003            761             0.018022537231445312
31              0.75            348             [1,2,4,8,10,11,14,17,25]                           9                              5015            413             0.018552541732788086
32              0.125           62              [11,12,15]                                         3                              5002            1240            0.01853322982788086
32              0.25            124             [28,14,10]                                         3                              5002            1195            0.018021821975708008
32              0.5             248             [26,9,19,4,29]                                     5                              5003            759             0.020548582077026367
32              0.75            372             [0,2,5,6,9,13,14,21,24,25,27]                      11                             5006            384             0.020029544830322266
33              0.125           66              [4,8,17]                                           3                              5002            1279            0.02002263069152832
33              0.25            132             [5,10,8]                                           3                              5002            1195            0.021553754806518555
33              0.5             264             [1,14,3,27,12]                                     5                              5005            774             0.017708301544189453
33              0.75            396             [0,6,7,9,12,13,19,20,25]                           9                              5007            416             0.01845693588256836
34              0.125           70              [1,25,7]                                           3                              5000            1319            0.021021604537963867
34              0.25            140             [32,14,11,24]                                      4                              5006            974             0.01775050163269043
34              0.5             280             [28,26,4,11,24,29]                                 6                              5008            752             0.023404359817504883
34              0.75            420             [0,3,4,7,15,16,19,22,31]                           9                              5006            440             0.025533437728881836
35              0.125           74              [9,12,29]                                          3                              5000            1252            0.019597291946411133
35              0.25            148             [28,33,20]                                         3                              5003            1195            0.020025253295898438
35              0.5             297             [23,28,1,21,16]                                    5                              5002            764             0.0175173282623291
35              0.75            446             [0,1,8,10,19,22,24,25,29]                          9                              5016            413             0.01953291893005371
36              0.125           78              [34,8,9]                                           3                              5002            1264            0.02002429962158203
36              0.25            157             [9,1,30]                                           3                              5003            1210            0.019024133682250977
36              0.5             315             [23,31,4,27,7]                                     5                              5000            778             0.018025875091552734
36              0.75            472             [0,2,3,4,5,11,12,21,24,28,32]                      11                             5007            404             0.018022775650024414
37              0.125           83              [11,10,3]                                          3                              5003            1294            0.02053093910217285
37              0.25            166             [8,7,25]                                           3                              5003            1192            0.020022869110107422
37              0.5             333             [23,31,33,16,10]                                   5                              5002            764             0.02003192901611328
37              0.75            499             [1,6,9,12,15,20,27,28,34]                          9                              5008            416             0.019025564193725586
38              0.125           87              [2,9,21]                                           3                              5000            1301            0.02002120018005371
38              0.25            175             [18,19,11]                                         3                              5005            1208            0.019530296325683594
38              0.5             351             [35,17,30,2,27]                                    5                              5005            764             0.017577171325683594
38              0.75            527             [1,2,4,7,8,13,16,26,32]                            9                              5006            426             0.019519567489624023
39              0.125           92              [11,6,18]                                          3                              5003            1254            0.018598556518554688
39              0.25            185             [2,10,17]                                          3                              5002            1203            0.0205380916595459
39              0.5             370             [23,14,32,20,0]                                    5                              5004            762             0.018340587615966797
39              0.75            555             [37,9,14,7,30,3,36,32,29]                          9                              5003            427             0.026543378829956055
40              0.125           97              [15,33,22,18]                                      4                              5002            1261            0.02143383026123047
40              0.25            195             [10,3,21]                                          3                              5006            1200            0.02002859115600586
40              0.5             390             [37,31,4,36,34,7]                                  6                              5001            663             0.01760125160217285
40              0.75            585             [1,2,6,10,12,24,27,30,39]                          9                              5006            414             0.019711732864379883
41              0.125           102             [27,20,17]                                         3                              5000            1294            0.020615816116333008
41              0.25            205             [17,10,21,36]                                      4                              5001            1191            0.019023418426513672
41              0.5             410             [23,31,26,30,13,29]                                6                              5006            686             0.018016815185546875
41              0.75            615             [31,26,2,20,7,35,40,15,6]                          9                              5001            406             0.018517255783081055
42              0.125           107             [25,31,0]                                          3                              5001            1288            0.02105236053466797
42              0.25            215             [21,11,27,24]                                      4                              5000            1068            0.020029306411743164
42              0.5             430             [37,1,26,15,20]                                    5                              5004            755             0.01703190803527832
42              0.75            645             [25,17,38,2,32,20,19,27,5]                         9                              5018            419             0.02454066276550293
43              0.125           112             [16,33,3]                                          3                              5001            1329            0.021024227142333984
43              0.25            225             [37,1,7,0]                                         4                              5000            1195            0.02012038230895996
43              0.5             451             [37,1,32,22,10,15]                                 6                              5005            639             0.01551198959350586
43              0.75            677             [31,28,33,17,4,32,21,24,11]                        9                              5010            413             0.01955437660217285
44              0.125           118             [11,26,20]                                         3                              5000            1253            0.019025087356567383
44              0.25            236             [23,9,18,29]                                       4                              5004            1133            0.021026611328125
44              0.5             473             [32,25,14,2,24]                                    5                              5011            751             0.017658710479736328
44              0.75            709             [28,9,25,17,41,10,40,37,22]                        9                              5004            410             0.018535375595092773
45              0.125           123             [22,36,15]                                         3                              5003            1259            0.020019054412841797
45              0.25            247             [28,23,13]                                         3                              5003            1210            0.0190277099609375
45              0.5             495             [28,1,38,34,15]                                    5                              5004            767             0.018024444580078125
45              0.75            742             [28,25,17,32,41,35,40,10,11]                       9                              5000            419             0.017217159271240234
46              0.125           129             [24,36,9]                                          3                              5001            1282            0.02013254165649414
46              0.25            258             [4,24,15]                                          3                              5003            1193            0.02002549171447754
46              0.5             517             [37,23,9,33,3,32]                                  6                              5010            626             0.01602482795715332
46              0.75            776             [43,33,38,4,2,12,19,41,18,5]                       10                             5012            355             0.018583059310913086
47              0.125           135             [34,41,1]                                          3                              5002            1253            0.020029067993164062
47              0.25            270             [42,9,27,38]                                       4                              5004            982             0.017095088958740234
47              0.5             540             [28,26,35,14,39,27]                                6                              5006            669             0.017163991928100586
47              0.75            810             [28,26,43,19,35,40,1,13,6]                         9                              5009            421             0.017586946487426758
48              0.125           141             [9,45,0]                                           3                              5000            1246            0.01866626739501953
48              0.25            282             [9,12,38]                                          3                              5000            1211            0.019021987915039062
48              0.5             564             [46,31,23,28,4,6]                                  6                              5012            659             0.01651167869567871
48              0.75            846             [28,17,12,7,35,18,14,24,3,13]                      10                             5016            388             0.01811814308166504
49              0.125           147             [8,6,25]                                           3                              5001            1245            0.019589662551879883
49              0.25            294             [35,13,12]                                         3                              5000            1198            0.019020795822143555
49              0.5             588             [28,5,39,41,32,15]                                 6                              5008            727             0.01602029800415039
49              0.75            882             [28,31,26,36,32,47,41,27,5]                        9                              5006            415             0.01902627944946289
50              0.125           153             [16,11,32]                                         3                              5003            1252            0.01953721046447754
50              0.25            306             [41,43,17]                                         3                              5003            1191            0.019014596939086914
50              0.5             612             [46,18,47,33,11]                                   5                              5004            760             0.01651787757873535
