Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
4               0.125           0               [1]                                                1                              1001            251             0.004516124725341797
4               0.25            1               [0,3]                                              2                              1009            94              0.0010008811950683594
4               0.5             3               [0,3]                                              2                              1003            84              0.001999378204345703
4               0.75            4               [0,1]                                              2                              1000            82              0.0010001659393310547
5               0.125           1               [4,3]                                              2                              1001            118             0.002004384994506836
5               0.25            2               [0,3]                                              2                              1006            76              0.0009996891021728516
5               0.5             5               [0,1,4]                                            3                              1020            42              0.0005104541778564453
5               0.75            7               [0,1,3]                                            3                              1004            42              0.0010104179382324219
6               0.125           1               [3,4]                                              2                              1011            108             0.0019991397857666016
6               0.25            3               [0,5]                                              2                              1000            63              0.0009975433349609375
6               0.5             7               [0,1,2]                                            3                              1022            48              0.0            
6               0.75            11              [0,2,5]                                            3                              1002            41              0.0010018348693847656
7               0.125           2               [0,5]                                              2                              1005            87              0.001001596450805664
7               0.25            5               [5,2,4]                                            3                              1008            68              0.0009975433349609375
7               0.5             10              [5,4,6]                                            3                              1006            55              0.000997304916381836
7               0.75            15              [0,2,3,6]                                          4                              1025            22              0.0            
8               0.125           3               [7,0]                                              2                              1006            77              0.0025129318237304688
8               0.25            7               [1,2]                                              2                              1034            61              0.0            
8               0.5             14              [0,1,2,7]                                          4                              1022            26              0.001001119613647461
8               0.75            21              [0,2,3,4]                                          4                              1011            24              0.00099945068359375
9               0.125           4               [8,5]                                              2                              1007            83              0.003001689910888672
9               0.25            9               [0,1,5]                                            3                              1006            59              0.0009984970092773438
9               0.5             18              [8,0,6]                                            3                              1009            42              0.0019991397857666016
9               0.75            27              [0,1,5,8]                                          4                              1033            21              0.0009989738464355469
10              0.125           5               [1,3]                                              2                              1004            81              0.0010061264038085938
10              0.25            11              [7,1,6]                                            3                              1003            64              0.0009992122650146484
10              0.5             22              [0,5,6,7]                                          4                              1090            34              0.0009996891021728516
10              0.75            33              [0,1,3,5,7]                                        5                              1010            18              0.0            
11              0.125           6               [0,9]                                              2                              1017            74              0.0010001659393310547
11              0.25            13              [0,1]                                              2                              1019            58              0.0010001659393310547
11              0.5             27              [0,7,9,10]                                         4                              1000            22              0.0009999275207519531
11              0.75            41              [1,2,3,4,7,8]                                      6                              1086            15              0.0            
12              0.125           8               [9,10]                                             2                              1035            85              0.002000570297241211
12              0.25            16              [2,7,8]                                            3                              1014            61              0.0            
12              0.5             33              [0,3,5,6]                                          4                              1066            38              0.0015065670013427734
12              0.75            49              [0,2,3,4,9,10,11]                                  7                              1089            10              0.0010073184967041016
13              0.125           9               [12,7,0]                                           3                              1004            73              0.0009992122650146484
13              0.25            19              [1,3,8]                                            3                              1001            59              0.0010006427764892578
13              0.5             39              [0,5,6,10,11]                                      5                              1028            22              0.0            
13              0.75            58              [0,2,6,8,11]                                       5                              1008            13              0.0015056133270263672
14              0.125           11              [1,13]                                             2                              1003            68              0.0010051727294921875
14              0.25            22              [1,5,11]                                           3                              1006            56              0.0009999275207519531
14              0.5             45              [1,2,4,7,13]                                       5                              1021            33              0.0            
14              0.75            68              [0,1,4,5,9,13]                                     6                              1078            10              0.0010001659393310547
15              0.125           13              [12,6]                                             2                              1003            77              0.0010006427764892578
15              0.25            26              [8,5]                                              2                              1003            56              0.0            
15              0.5             52              [0,1,2,9]                                          4                              1081            33              0.001504659652709961
15              0.75            78              [0,2,3,11,13,14]                                   6                              1078            10              0.0            
16              0.125           15              [0,13,6]                                           3                              1011            73              0.001005411148071289
16              0.25            30              [13,7,10]                                          3                              1014            51              0.0010046958923339844
16              0.5             60              [1,4,8,12]                                         4                              1016            24              0.0009999275207519531
16              0.75            90              [14,15,11,0,9,6]                                   6                              1019            11              0.0            
17              0.125           17              [2,3]                                              2                              1007            66              0.0020029544830322266
17              0.25            34              [5,11,6]                                           3                              1011            59              0.0009984970092773438
17              0.5             68              [2,4,9,11]                                         4                              1076            26              0.0            
17              0.75            102             [15,11,3,7,2]                                      5                              1040            12              0.0010006427764892578
18              0.125           19              [12,3]                                             2                              1001            69              0.001999378204345703
18              0.25            38              [11,16,1]                                          3                              1009            55              0.0010004043579101562
18              0.5             76              [1,2,4,7]                                          4                              1047            26              0.0011208057403564453
18              0.75            114             [0,1,7,8,9,11,14]                                  7                              1190            8               0.0            
19              0.125           21              [1,3]                                              2                              1006            58              0.0010068416595458984
19              0.25            42              [10,18,8]                                          3                              1002            50              0.0            
19              0.5             85              [0,2,8,11,12]                                      5                              1032            35              0.0010001659393310547
19              0.75            128             [1,2,4,7,12,15]                                    6                              1136            7               0.00099945068359375
20              0.125           23              [12,11]                                            2                              1007            55              0.0009999275207519531
20              0.25            47              [14,1,9]                                           3                              1005            51              0.0009987354278564453
20              0.5             95              [0,11,9,6]                                         4                              1005            39              0.0010001659393310547
20              0.75            142             [0,1,3,6,8,12,13,19]                               8                              1292            9               0.0            
21              0.125           26              [8,3,10]                                           3                              1008            59              0.0015079975128173828
21              0.25            52              [12,16]                                            2                              1025            51              0.0010066032409667969
21              0.5             105             [12,1,19,3]                                        4                              1099            25              0.0            
21              0.75            157             [0,1,2,6,7,8,19]                                   7                              1000            4               0.0010020732879638672
22              0.125           28              [20,3,15]                                          3                              1009            64              0.000997304916381836
22              0.25            57              [12,1,21]                                          3                              1010            53              0.0010004043579101562
22              0.5             115             [1,0,9,6]                                          4                              1045            28              0.0010001659393310547
22              0.75            173             [0,3,4,9,14,17,19]                                 7                              1046            5               0.0            
23              0.125           31              [22,11]                                            2                              1028            70              0.002001523971557617
23              0.25            63              [12,4,0]                                           3                              1013            52              0.0010001659393310547
23              0.5             126             [12,14,10,17]                                      4                              1071            21              0.0            
23              0.75            189             [1,2,4,18,21]                                      5                              1002            12              0.0009975433349609375
24              0.125           34              [20,6]                                             2                              1008            64              0.0010004043579101562
24              0.25            69              [12,7,1]                                           3                              1012            46              0.0005054473876953125
24              0.5             138             [12,4,5,0]                                         4                              1051            24              0.0            
24              0.75            207             [1,2,4,12,15,17,19]                                7                              1062            11              0.0010066032409667969
25              0.125           37              [18,1]                                             2                              1008            64              0.0010020732879638672
25              0.25            75              [20,21,2]                                          3                              1003            54              0.000997304916381836
25              0.5             150             [14,4,22,0,17]                                     5                              1007            24              0.00099945068359375
25              0.75            225             [1,5,7,8,11,14,21]                                 7                              1145            12              0.0            
26              0.125           40              [14,6]                                             2                              1006            64              0.002000570297241211
26              0.25            81              [8,1,24]                                           3                              1001            51              0.0009989738464355469
26              0.5             162             [15,16,8,21]                                       4                              1023            34              0.0            
26              0.75            243             [0,1,3,6,15,20]                                    6                              1111            13              0.001001119613647461
27              0.125           43              [4,7]                                              2                              1006            58              0.0            
27              0.25            87              [20,9,16]                                          3                              1014            44              0.0015044212341308594
27              0.5             175             [20,22,15,23]                                      4                              1005            19              0.001007080078125
27              0.75            263             [2,4,5,9,14,20,26]                                 7                              1016            10              0.0            
28              0.125           47              [12,7]                                             2                              1001            62              0.0009996891021728516
28              0.25            94              [18,8,2]                                           3                              1011            45              0.0009999275207519531
28              0.5             189             [0,2,3,7]                                          4                              1020            18              0.0            
28              0.75            283             [3,5,7,8,11,13,23]                                 7                              1176            9               0.0009996891021728516
29              0.125           50              [11,27]                                            2                              1019            55              0.0010025501251220703
29              0.25            101             [1,25,24]                                          3                              1006            46              0.0            
29              0.5             203             [1,19,15,9]                                        4                              1020            18              0.0009963512420654297
29              0.75            304             [12,20,4,22,9,18]                                  6                              1176            9               0.0            
30              0.125           54              [1,9]                                              2                              1003            44              0.0009999275207519531
30              0.25            108             [20,28,2]                                          3                              1010            45              0.0009999275207519531
30              0.5             217             [14,11,23,16]                                      4                              1024            17              0.0            
30              0.75            326             [12,5,19,28,17,7]                                  6                              1009            8               0.001001119613647461
31              0.125           58              [22,6]                                             2                              1003            56              0.00099945068359375
31              0.25            116             [20,22,30]                                         3                              1008            45              0.0            
31              0.5             232             [27,15,0,16,28]                                    5                              1017            20              0.0            
31              0.75            348             [25,1,30,11,17,2,6]                                7                              1042            8               0.0            
32              0.125           62              [5,4]                                              2                              1002            56              0.0010001659393310547
32              0.25            124             [14,28,10]                                         3                              1024            37              0.0010039806365966797
32              0.5             248             [25,5,9,2]                                         4                              1020            21              0.0009958744049072266
32              0.75            372             [14,25,4,20,19,2,21]                               7                              1055            8               0.0            
33              0.125           66              [30,29]                                            2                              1029            44              0.00099945068359375
33              0.25            132             [5,25,13]                                          3                              1008            42              0.0010020732879638672
33              0.5             264             [25,19,13,7]                                       4                              1070            17              0.0            
33              0.75            396             [14,25,5,19,22,28,17,6]                            8                              1292            8               0.0            
34              0.125           70              [12,14]                                            2                              1008            53              0.0            
34              0.25            140             [13,24,10]                                         3                              1009            43              0.0009982585906982422
34              0.5             280             [20,29,3,27]                                       4                              1019            17              0.0009992122650146484
34              0.75            420             [33,3,27,15,17,24,28,8]                            8                              1159            7               0.0            
