Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
4               0.125           0               [0]                                                1                              2500001         625001          7.579249143600464
4               0.25            1               [0,3]                                              2                              2500004         220574          3.417480945587158
4               0.5             3               [0,3]                                              2                              2500005         208342          3.282064199447632
4               0.75            4               [0,1]                                              2                              2500000         200002          3.248939037322998
5               0.125           1               [4,3]                                              2                              2500003         277786          4.060371160507202
5               0.25            2               [0,3]                                              2                              2500004         196821          3.1249465942382812
5               0.5             5               [0,1,4]                                            3                              2500009         100004          1.951483964920044
5               0.75            7               [0,1,3]                                            3                              2500009         100004          2.05328369140625
6               0.125           1               [3,4]                                              2                              2500002         242954          3.666457176208496
6               0.25            3               [0,5]                                              2                              2500029         143915          2.4788451194763184
6               0.5             7               [0,1,2]                                            3                              2500022         118821          2.4007084369659424
6               0.75            11              [0,1,3]                                            3                              2500005         102187          2.1828267574310303
7               0.125           2               [2,6]                                              2                              2500029         180309          2.8469386100769043
7               0.25            5               [2,4,5]                                            3                              2500008         147844          2.6081156730651855
7               0.5             10              [2,5,6]                                            3                              2500000         140435          2.497732162475586
7               0.75            15              [0,2,3,6]                                          4                              2500021         51023           1.4974799156188965
8               0.125           3               [0,3]                                              2                              2500004         171935          2.793532371520996
8               0.25            7               [7,1]                                              2                              2500004         148889          2.5334973335266113
8               0.5             14              [0,1,2,7]                                          4                              2500007         60971           1.600358486175537
8               0.75            21              [0,2,3,4]                                          4                              2500006         57085           1.6173510551452637
9               0.125           4               [7,0]                                              2                              2500007         166689          2.713036298751831
9               0.25            9               [0,1,5]                                            3                              2500010         142886          2.46789813041687
9               0.5             18              [5,0,3]                                            3                              2500008         103355          2.055095672607422
9               0.75            27              [0,4,5,7,8]                                        5                              2500020         53204           1.4605541229248047
10              0.125           5               [1,3]                                              2                              2500031         172690          2.841238498687744
10              0.25            11              [7,1,6]                                            3                              2500014         143813          2.4236650466918945
10              0.5             22              [0,5,6,7,9]                                        5                              2500034         61663           1.558060646057129
10              0.75            33              [0,1,3,5,7]                                        5                              2500062         40965           1.368199110031128
11              0.125           6               [8,1]                                              2                              2500000         176924          2.8468754291534424
11              0.25            13              [2,3]                                              2                              2500004         149359          2.6280810832977295
11              0.5             27              [0,7,9,10]                                         4                              2500014         56572           1.2861566543579102
11              0.75            41              [1,2,3,4,7,8]                                      6                              2500006         31690           1.1630291938781738
12              0.125           8               [7,1]                                              2                              2500002         184967          2.988922119140625
12              0.25            16              [8,7,2]                                            3                              2500036         142815          2.4334781169891357
12              0.5             33              [1,3,5,6]                                          4                              2500017         52731           1.307164192199707
12              0.75            49              [0,2,3,4,9,10,11]                                  7                              2500065         17364           0.9253318309783936
13              0.125           9               [12,7,0]                                           3                              2500005         150175          2.4857404232025146
13              0.25            19              [0,4,10]                                           3                              2500007         146549          2.4733288288116455
13              0.5             39              [0,5,6,10,11]                                      5                              2500019         52334           1.3078601360321045
13              0.75            58              [2,3,4,6,9,11]                                     6                              2500132         25993           0.9920859336853027
14              0.125           11              [11,13,10]                                         3                              2500008         153154          2.514676094055176
14              0.25            22              [8,5,3]                                            3                              2500012         146169          2.450319766998291
14              0.5             45              [1,2,4,10,13]                                      5                              2500018         51649           1.3200340270996094
14              0.75            68              [1,4,5,9,10,12,13]                                 7                              2500154         22613           0.8817563056945801
15              0.125           13              [5,3]                                              2                              2500004         184718          2.8506181240081787
15              0.25            26              [8,5,3]                                            3                              2500012         138911          2.4275288581848145
15              0.5             52              [0,1,2,9]                                          4                              2500005         51010           1.3565378189086914
15              0.75            78              [0,2,3,11,13,14]                                   6                              2500009         22917           0.8679006099700928
16              0.125           15              [0,13,6]                                           3                              2500014         152564          2.5351150035858154
16              0.25            30              [14,10,13,7]                                       4                              2500004         77369           1.5739638805389404
16              0.5             60              [12,4,11,9,8]                                      5                              2500106         55512           1.3472497463226318
16              0.75            90              [0,3,6,9,11,14,15]                                 7                              2500160         21971           0.8512899875640869
17              0.125           17              [4,16]                                             2                              2500000         180156          2.9206786155700684
17              0.25            34              [11,13,10]                                         3                              2500002         143434          2.4877912998199463
17              0.5             68              [0,1,5,6,7]                                        5                              2500020         55323           1.3851022720336914
17              0.75            102             [0,1,3,6,10,12,13]                                 7                              2500148         21320           0.9034574031829834
18              0.125           19              [8,1,9]                                            3                              2500003         154675          2.581611394882202
18              0.25            38              [0,1,11,16]                                        4                              2500021         83170           1.7299654483795166
18              0.5             76              [2,4,7,8,14,15]                                    6                              2500191         34551           0.998448371887207
18              0.75            114             [0,4,6,7,8,10,12]                                  7                              2500006         20347           0.8702867031097412
19              0.125           21              [15,7,6]                                           3                              2500005         153173          2.540693759918213
19              0.25            42              [1,11,4]                                           3                              2500001         139227          2.3893275260925293
19              0.5             85              [0,3,8,13,14]                                      5                              2500020         53738           1.3835840225219727
19              0.75            128             [0,3,5,6,11,16,17]                                 7                              2500029         22396           0.8914022445678711
20              0.125           23              [8,15,13]                                          3                              2500013         153969          2.6150107383728027
20              0.25            47              [8,4,17]                                           3                              2500000         141570          2.4520459175109863
20              0.5             95              [1,10,9,3,2]                                       5                              2500006         56035           1.3888847827911377
20              0.75            142             [0,1,3,6,8,12,13,19]                               8                              2500017         14363           0.7571310997009277
21              0.125           26              [8,3,10]                                           3                              2500001         154280          2.66308331489563
21              0.25            52              [15,13,9]                                          3                              2500004         143318          2.5517525672912598
21              0.5             105             [4,5,6,15,17,20]                                   6                              2500000         38532           1.1012065410614014
21              0.75            157             [1,2,8,9,10,12,13,16,19]                           9                              2500037         16822           0.7998769283294678
22              0.125           28              [7,3,10]                                           3                              2500013         151575          2.5650722980499268
22              0.25            57              [14,7,0]                                           3                              2500000         138316          2.4441373348236084
22              0.5             115             [5,15,16,2,21]                                     5                              2500000         59796           1.4367578029632568
22              0.75            173             [1,3,4,14,15,16,17,18,19,20]                       10                             2500047         11694           0.6407136917114258
23              0.125           31              [7,0,22]                                           3                              2500015         154737          2.681926965713501
23              0.25            63              [15,20,22]                                         3                              2500007         144538          2.5592243671417236
23              0.5             126             [20,10,13,17,7,21]                                 6                              2500189         37987           1.1062161922454834
23              0.75            189             [20,19,22,15,2,8,21,6]                             8                              2500195         16285           0.7468559741973877
24              0.125           34              [2,4,10]                                           3                              2500010         154200          2.634474754333496
24              0.25            69              [19,10,18,7]                                       4                              2500026         84695           1.7137668132781982
24              0.5             138             [12,5,9,17,8]                                      5                              2500027         55616           1.4025788307189941
24              0.75            207             [0,1,4,7,10,11,14,23]                              8                              2500178         14741           0.7439627647399902
25              0.125           37              [7,19,24]                                          3                              2500016         153844          2.656477212905884
25              0.25            75              [19,15,11,17]                                      4                              2500004         86466           1.785674810409546
25              0.5             150             [0,2,4,14,17,22]                                   6                              2500004         38479           1.1060526371002197
25              0.75            225             [1,2,3,6,7,8,10,14,19,21]                          10                             2500035         10868           0.6853342056274414
26              0.125           40              [14,6,17]                                          3                              2500015         155397          2.670841693878174
26              0.25            81              [12,20,23,18]                                      4                              2500019         81405           1.75254225730896
26              0.5             162             [5,19,10,11,16,6]                                  6                              2500156         37947           1.0789928436279297
26              0.75            243             [2,3,6,8,11,13,15,21,24]                           9                              2500097         16622           0.7861521244049072
27              0.125           43              [14,21,6]                                          3                              2500007         154287          2.614243268966675
27              0.25            87              [20,9,17,24]                                       4                              2500024         89350           1.809828758239746
27              0.5             175             [1,6,7,8,12,19]                                    6                              2500014         37498           1.0729238986968994
27              0.75            263             [2,5,6,7,14,15,16,24,25]                           9                              2500049         15717           0.7712235450744629
28              0.125           47              [1,5,22]                                           3                              2500010         153101          2.641732931137085
28              0.25            94              [14,23,26,6]                                       4                              2500011         82737           1.6762731075286865
28              0.5             189             [0,2,7,11,16,23]                                   6                              2500017         44400           1.2002840042114258
28              0.75            283             [0,2,7,10,14,15,17,18,23,26]                       10                             2500026         12006           0.6865086555480957
29              0.125           50              [2,19,28]                                          3                              2500009         153817          2.6307921409606934
29              0.25            101             [27,10,28,24]                                      4                              2500038         83253           1.7407753467559814
29              0.5             203             [12,1,23,9,3]                                      5                              2500031         56161           1.397073745727539
29              0.75            304             [0,3,4,5,9,18,20,25,26,28]                         10                             2500037         13237           0.7312438488006592
30              0.125           54              [15,0,7]                                           3                              2500005         153300          2.6707959175109863
30              0.25            108             [12,9,18,24]                                       4                              2500091         83163           1.7620701789855957
30              0.5             217             [4,19,11,16,13,7]                                  6                              2500006         37882           1.0373082160949707
30              0.75            326             [2,3,4,7,12,15,17,27,28]                           9                              2500054         16880           0.8171753883361816
31              0.125           58              [7,1,26]                                           3                              2500007         153700          2.679629325866699
31              0.25            116             [22,9,28,30]                                       4                              2500012         80882           1.6938402652740479
31              0.5             232             [14,8,15,26,2,6]                                   6                              2500024         36128           1.0501835346221924
31              0.75            348             [1,2,4,6,10,11,14,17,19,25]                        10                             2500058         11271           0.6725599765777588
32              0.125           62              [7,11,1]                                           3                              2500005         153573          2.7488086223602295
32              0.25            124             [18,26,3,8,24]                                     5                              2500019         73971           1.599602460861206
32              0.5             248             [31,5,1,9,17,27]                                   6                              2500099         39635           1.0759303569793701
32              0.75            372             [0,2,5,6,9,13,14,21,24,25,27]                      11                             2500319         12686           0.7034666538238525
33              0.125           66              [8,4,17]                                           3                              2500007         153497          2.6971774101257324
