Vertices;Edge_Percentage;Edges;Maximum_Clique;Maximum_Clique_Size;Operations;Attempts;Time
14;0.125;11;[10,13,11];3;20000;1256;0.030055522918701172
14;0.25;22;[6,5,11];3;20002;1068;0.029054641723632812
14;0.5;45;[0,2,4,7,13];5;20006;3;0.01351165771484375
14;0.75;68;[0,1,4,5,9,13];6;20037;11;0.012513160705566406
15;0.125;13;[7,3];2;20002;555;0.021534204483032227
15;0.25;26;[14,8,5];3;20000;1367;0.034587860107421875
15;0.5;52;[0,1,3,12];4;20006;1862;0.06910014152526855
15;0.75;78;[0,2,3,11,13,14];6;20008;43;0.016013622283935547
16;0.125;15;[0,13,15];3;20002;1998;0.04008340835571289
16;0.25;30;[14,10,13,5];4;20005;2566;0.05698251724243164
16;0.5;60;[4,9,8,2,7];5;20001;1997;0.05463075637817383
16;0.75;90;[0,1,9,10,11,15];6;20001;5;0.013512134552001953
17;0.125;17;[4,16];2;20001;826;0.025046825408935547
17;0.25;34;[0,9,3];3;20000;2107;0.04305672645568848
17;0.5;68;[0,1,5,6,7];5;20005;2353;0.05959367752075195
17;0.75;102;[0,1,3,6,10,12,13];7;20005;94;0.018026113510131836
18;0.125;19;[8,1,9];3;20003;2453;0.05636334419250488
18;0.25;38;[0,1,11,16];4;20002;3111;0.06113433837890625
18;0.5;76;[2,4,7,8,14,15];6;20002;2119;0.05806279182434082
18;0.75;114;[0,1,7,8,9,11,14];7;20003;472;0.035105228424072266
19;0.125;21;[18,13,11];3;20004;2818;0.05126595497131348
19;0.25;42;[4,0,8];3;20001;2747;0.06015634536743164
19;0.5;85;[0,1,3,13,14];5;20003;2426;0.0765998363494873
19;0.75;128;[0,3,5,6,11,16,17];7;20004;1144;0.055495500564575195
20;0.125;23;[15,8,13];3;20000;3055;0.05458474159240723
20;0.25;47;[14,9,19];3;20000;3002;0.05907607078552246
20;0.5;95;[1,3,5,6,11];5;20001;2584;0.062120676040649414
20;0.75;142;[0,1,3,6,8,12,13,19];8;20017;11;0.01453256607055664
21;0.125;26;[8,3,10];3;20003;3398;0.0630803108215332
21;0.25;52;[16,1,3];3;20001;3222;0.06760692596435547
21;0.5;105;[0,3,5,12,19];5;20003;2460;0.0722193717956543
21;0.75;157;[1,2,6,7,8,13,16,19];8;20007;982;0.05658316612243652
22;0.125;28;[7,3,20];3;20001;3522;0.07633590698242188
22;0.25;57;[17,15,20];3;20001;3408;0.06207442283630371
22;0.5;115;[4,0,9,1];4;20004;2623;0.07061600685119629
22;0.75;173;[0,3,4,9,14,17,19];7;20029;14;0.013507843017578125
23;0.125;31;[22,7,0];3;20001;3856;0.06863212585449219
23;0.25;63;[22,1,7];3;20000;3640;0.06881332397460938
23;0.5;126;[0,2,3,6,16];5;20004;2611;0.0700221061706543
23;0.75;189;[0,2,3,4,15,18,19,21];8;20010;1123;0.06102395057678223
24;0.125;34;[14,8,19];3;20003;3832;0.06867623329162598
24;0.25;69;[8,13,6,21];4;20004;3773;0.08586573600769043
24;0.5;138;[9,22,8,2,7];5;20004;2638;0.0723872184753418
24;0.75;207;[0,1,4,7,10,11,14,23];8;20032;1092;0.06902575492858887
25;0.125;37;[23,8,15];3;20002;3971;0.07670116424560547
25;0.25;75;[14,5,24];3;20001;3863;0.06998658180236816
25;0.5;150;[0,2,4,14,17,22];6;20006;2192;0.06918501853942871
25;0.75;225;[1,2,3,6,7,8,13,19,21,24];10;20008;964;0.06065702438354492
26;0.125;40;[14,17,6];3;20003;4092;0.08802199363708496
26;0.25;81;[12,18,20];3;20005;3927;0.09447765350341797
26;0.5;162;[20,14,8,3,23];5;20006;2658;0.06965017318725586
26;0.75;243;[1,2,4,6,8,13,15,17,25];9;20026;1223;0.0657963752746582
27;0.125;43;[7,4,24];3;20000;4246;0.08320498466491699
27;0.25;87;[26,6,7,19];4;20002;3439;0.07973718643188477
27;0.5;175;[14,8,7,12,1];5;20005;2671;0.06581544876098633
27;0.75;263;[2,5,6,7,14,15,16,24,25];9;20004;1262;0.06531524658203125
28;0.125;47;[22,23,8];3;20002;4177;0.07893919944763184
28;0.25;94;[20,1,19];3;20000;4053;0.07632017135620117
28;0.5;189;[24,8,10,12,16];5;20002;2700;0.07058334350585938
28;0.75;283;[0,2,7,10,13,14,17,23,26];9;20007;1194;0.06523919105529785
29;0.125;50;[14,16,5];3;20000;4328;0.07258486747741699
29;0.25;101;[0,20,18,12];4;20005;3697;0.07808470726013184
29;0.5;203;[0,25,3,6,5];5;20001;2743;0.0715794563293457
29;0.75;304;[0,2,3,5,9,18,20,25,26,28];10;20042;1189;0.08852386474609375
30;0.125;54;[22,16,20];3;20001;4433;0.08024787902832031
30;0.25;108;[24,14,8,10];4;20004;3554;0.07859230041503906
30;0.5;217;[4,25,13,7,16,11];6;20000;2387;0.07745766639709473
30;0.75;326;[1,2,4,9,11,15,16,27,29];9;20005;1254;0.0675654411315918
31;0.125;58;[27,1,15];3;20000;4420;0.07708477973937988
31;0.25;116;[9,30,29,28];4;20002;3710;0.0787050724029541
31;0.5;232;[0,24,14,30,28];5;20000;2744;0.07558488845825195
31;0.75;348;[0,2,4,5,8,9,13,14,18,30];10;20002;1016;0.06958770751953125
32;0.125;62;[7,16,19];3;20002;4456;0.07781195640563965
32;0.25;124;[24,8,26,18];4;20003;3743;0.07810091972351074
32;0.5;248;[9,24,22,13,5,6];6;20001;2386;0.06858015060424805
32;0.75;372;[0,2,5,6,9,13,14,21,24,25,27];11;20003;1009;0.08410072326660156
33;0.125;66;[4,29,15];3;20001;4461;0.08520174026489258
33;0.25;132;[4,13,12,5];4;20004;3819;0.07808065414428711
33;0.5;264;[0,9,22,17,27,28];6;20004;2505;0.06957697868347168
33;0.75;396;[0,6,9,12,13,14,19,20,22,25];10;20015;1121;0.06834292411804199
34;0.125;70;[33,2,20];3;20000;4630;0.07771849632263184
34;0.25;140;[14,32,24,11];4;20004;4318;0.10385465621948242
34;0.5;280;[24,20,25,28,29,27,11];7;20007;2249;0.07491064071655273
34;0.75;420;[0,3,4,12,14,16,18,22,25];9;20006;1328;0.07412338256835938
