Vertices;Edge_Percentage;Edges;Maximum_Clique;Maximum_Clique_Size;Operations;Attempts;Time
4;0.125;0;[1];1;20002;7;0.014014482498168945
4;0.25;1;[0,3];2;20015;9;0.011322498321533203
4;0.5;3;[0,3];2;20001;7;0.012026548385620117
4;0.75;4;[1,3];2;20008;3;0.011511802673339844
5;0.125;1;[4,3];2;20001;20;0.01251220703125
5;0.25;2;[0,3];2;20010;7;0.011513948440551758
5;0.5;5;[0,1,4];3;20005;4;0.011017560958862305
5;0.75;7;[0,1,3];3;20006;4;0.011521339416503906
6;0.125;1;[3,4];2;20001;32;0.012508392333984375
6;0.25;3;[0,5];2;20012;5;0.01150965690612793
6;0.5;7;[0,1,5];3;20004;3;0.012015104293823242
6;0.75;11;[0,1,3];3;20003;3;0.015030622482299805
7;0.125;2;[5,0];2;20001;31;0.011506080627441406
7;0.25;5;[2,0];2;20006;30;0.013507843017578125
7;0.5;10;[2,5,6];3;20004;43;0.013016223907470703
7;0.75;15;[0,2,3,6];4;20003;3;0.012519598007202148
8;0.125;3;[0,3];2;20001;70;0.013173580169677734
8;0.25;7;[4,6];2;20001;79;0.0140228271484375
8;0.5;14;[0,1,2,7];4;20024;4;0.015023231506347656
8;0.75;21;[0,2,3,4];4;20011;3;0.021027803421020508
9;0.125;4;[8,5];2;20002;109;0.018563032150268555
9;0.25;9;[0,1,5];3;20000;137;0.015586376190185547
9;0.5;18;[6,8,1];3;20008;71;0.015506505966186523
9;0.75;27;[0,4,5,7,8];5;20014;9;0.012079954147338867
10;0.125;5;[1,3];2;20003;151;0.016068458557128906
10;0.25;11;[7,1,6];3;20001;218;0.016022920608520508
10;0.5;22;[0,3,6,9];4;20002;35;0.01151275634765625
10;0.75;33;[0,1,3,5,7];5;20014;3;0.011508464813232422
11;0.125;6;[7,5];2;20003;212;0.01601552963256836
11;0.25;13;[1,8];2;20002;236;0.025550127029418945
11;0.5;27;[0,7,9,10];4;20001;99;0.018062829971313477
11;0.75;41;[1,2,3,4,7,8];6;20025;15;0.01204228401184082
12;0.125;8;[3,8];2;20000;270;0.017023801803588867
12;0.25;16;[8,10,9];3;20001;675;0.0230257511138916
12;0.5;33;[0,3,5,6];4;20002;284;0.018025875091552734
12;0.75;49;[0,2,3,4,9,10,11];7;20034;2;0.014513731002807617
13;0.125;9;[0,7,12];3;20001;762;0.02457880973815918
13;0.25;19;[2,5,9];3;20001;735;0.025027990341186523
13;0.5;39;[0,5,6,10,11];5;20002;195;0.02744317054748535
13;0.75;58;[0,2,6,8,11];5;20000;33;0.027978897094726562
