Vertices;Edge_Percentage;Edges;Maximum_Clique;Maximum_Clique_Size;Operations;Attempts;Time
4;0.125;0;[0];1;2500001;7;1.852735996246338
4;0.25;1;[0,3];2;2500005;7;1.600985050201416
4;0.5;3;[0,3];2;2500006;4;1.569366216659546
4;0.75;4;[0,1];2;2500006;3;1.646064043045044
5;0.125;1;[4,3];2;2500002;19;1.6966102123260498
5;0.25;2;[0,3];2;2500010;11;1.5751984119415283
5;0.5;5;[0,1,4];3;2500010;6;1.51450777053833
5;0.75;7;[0,1,3];3;2500000;3;1.510009527206421
6;0.125;1;[3,4];2;2500000;25;1.6435894966125488
6;0.25;3;[1,2];2;2500005;3;1.556386947631836
6;0.5;7;[0,1,2];3;2500001;3;1.568148136138916
6;0.75;11;[0,1,3];3;2500010;3;1.6372661590576172
7;0.125;2;[0,5];2;2500011;38;1.4931912422180176
7;0.25;5;[2,4,5];3;2500000;55;1.592721939086914
7;0.5;10;[2,5,6];3;2500013;16;1.5073602199554443
7;0.75;15;[0,2,3,6];4;2500012;6;1.5998947620391846
8;0.125;3;[1,6];2;2500005;76;1.8062059879302979
8;0.25;7;[4,6];2;2500003;91;1.7153408527374268
8;0.5;14;[0,1,2,7];4;2500020;4;1.5486910343170166
8;0.75;21;[0,2,3,4];4;2500000;3;1.547712802886963
9;0.125;4;[0,7];2;2500002;108;1.8161723613739014
9;0.25;9;[0,1,5];3;2500000;142;1.77168607711792
9;0.5;18;[8,6,0];3;2500001;79;1.692859411239624
9;0.75;27;[0,2,7,8];4;2500004;10;1.5938198566436768
10;0.125;5;[0,1];2;2500002;152;1.7323713302612305
10;0.25;11;[1,6,7];3;2500002;253;1.7097110748291016
10;0.5;22;[0,3,6,9];4;2500004;24;1.5531468391418457
10;0.75;33;[0,1,3,5,7];5;2500010;3;1.5356817245483398
11;0.125;6;[1,8];2;2500000;203;1.706449270248413
11;0.25;13;[0,1];2;2500002;235;1.7121248245239258
11;0.5;27;[0,7,9,10];4;2500025;59;1.5442867279052734
11;0.75;41;[1,2,3,4,7,8];6;2500010;28;1.5771682262420654
12;0.125;8;[4,10];2;2500000;278;1.7169928550720215
12;0.25;16;[7,8,2];3;2500002;568;1.6884219646453857
12;0.5;33;[0,3,5,6];4;2500011;306;1.6096487045288086
12;0.75;49;[0,2,3,4,9,10,11];7;2500011;2;1.5778086185455322
13;0.125;9;[12,0,7];3;2500004;770;1.7651207447052002
13;0.25;19;[1,3,8];3;2500008;738;1.8321080207824707
13;0.5;39;[10,6,1,5,11];5;2500017;220;1.7210800647735596
13;0.75;58;[0,2,6,8,11];5;2500001;31;1.6511645317077637
14;0.125;11;[13,10,11];3;2500001;1118;1.721940279006958
14;0.25;22;[5,8,3];3;2500000;1220;1.7678022384643555
14;0.5;45;[0,2,4,7,13];5;2500004;743;1.7288973331451416
14;0.75;68;[0,1,4,5,9,13];6;2500049;4;1.6548666954040527
15;0.125;13;[4,3];2;2500000;567;1.8798871040344238
15;0.25;26;[8,3,5];3;2500003;1446;1.7581062316894531
15;0.5;52;[4,9,10,11];4;2500004;4410;1.8615467548370361
15;0.75;78;[0,2,3,11,13,14];6;2500011;43;1.7283649444580078
16;0.125;15;[6,0,13];3;2500003;1897;1.9814705848693848
16;0.25;30;[14,10,13,5];4;2500001;5404;2.000033140182495
16;0.5;60;[4,9,8,12,11];5;2500003;9228;2.0244579315185547
16;0.75;90;[0,3,6,9,10,11,14,15];8;2500007;45;1.825563669204712
17;0.125;17;[4,14];2;2500002;818;1.964812994003296
17;0.25;34;[7,2,10];3;2500000;2496;1.9236245155334473
17;0.5;68;[0,1,5,6,7];5;2500005;13353;2.130625009536743
17;0.75;102;[0,1,3,6,10,12,13];7;2500046;101;1.7235376834869385
18;0.125;19;[8,1,9];3;2500000;3173;1.9007713794708252
18;0.25;38;[0,1,11,16];4;2500004;10142;2.1346182823181152
18;0.5;76;[2,4,7,8,14,15];6;2500016;20460;2.4102461338043213
18;0.75;114;[0,4,6,7,8,10,12];7;2500006;472;1.7582838535308838
19;0.125;21;[18,13,11];3;2500003;3946;1.9044957160949707
19;0.25;42;[8,1,9];3;2500001;4054;1.997260332107544
19;0.5;85;[0,3,10,2,1];5;2500003;29987;2.6286046504974365
19;0.75;128;[0,3,5,6,11,16,17];7;2500026;3663;1.8683347702026367
20;0.125;23;[8,13,15];3;2500001;4971;1.9509973526000977
20;0.25;47;[4,8,15];3;2500003;5048;2.080890417098999
