Vertices        Edge Percentage Edges           Maximum Clique                                     Maximum Clique Size            Operations      Attempts        Time           
4               0.125           0               [1]                                                1                              2501            1251            0.015000581741333008
4               0.25            1               [0,3]                                              2                              2500            752             0.010998725891113281
4               0.5             3               [0,3]                                              2                              2500            730             0.009999513626098633
4               0.75            4               [0,1]                                              2                              2501            715             0.012002706527709961
5               0.125           1               [4,3]                                              2                              2502            857             0.010996818542480469
5               0.25            2               [0,3]                                              2                              2503            727             0.012004613876342773
5               0.5             5               [0,1,4]                                            3                              2502            503             0.00899958610534668
5               0.75            7               [0,1,3]                                            3                              2504            502             0.00906991958618164
6               0.125           1               [3,4]                                              2                              2504            820             0.011002779006958008
6               0.25            3               [0,5]                                              2                              2501            628             0.00999593734741211
6               0.5             7               [0,1,2]                                            3                              2500            548             0.011002540588378906
6               0.75            11              [0,1,3]                                            3                              2504            519             0.010998010635375977
7               0.125           2               [0,5]                                              2                              2501            735             0.010000228881835938
7               0.25            5               [2,4,5]                                            3                              2500            615             0.012002229690551758
7               0.5             10              [2,5,6]                                            3                              2500            605             0.009998083114624023
7               0.75            15              [0,2,3,6]                                          4                              2503            359             0.009004354476928711
8               0.125           3               [1,6]                                              2                              2502            765             0.010509014129638672
8               0.25            7               [5,1]                                              2                              2502            633             0.009999990463256836
8               0.5             14              [0,1,2,7]                                          4                              2507            404             0.010999679565429688
8               0.75            21              [0,2,3,4]                                          4                              2502            388             0.010000467300415039
9               0.125           4               [7,0]                                              2                              2502            706             0.009999990463256836
9               0.25            9               [0,1,5]                                            3                              2500            610             0.009999513626098633
9               0.5             18              [0,3,5]                                            3                              2500            544             0.009999513626098633
9               0.75            27              [0,4,5,7,8]                                        5                              2503            369             0.00900125503540039
10              0.125           5               [2,9]                                              2                              2501            724             0.010998010635375977
10              0.25            11              [7,1,6]                                            3                              2500            612             0.009005069732666016
10              0.5             22              [0,5,6,7,9]                                        5                              2502            397             0.009510993957519531
10              0.75            33              [0,1,3,5,7]                                        5                              2504            329             0.009998798370361328
11              0.125           6               [0,9]                                              2                              2500            717             0.009999990463256836
11              0.25            13              [0,1]                                              2                              2500            652             0.009995222091674805
11              0.5             27              [0,7,9,10]                                         4                              2504            406             0.009001016616821289
11              0.75            41              [1,2,3,4,7,8]                                      6                              2505            288             0.011001348495483398
12              0.125           8               [1,7]                                              2                              2502            705             0.010999441146850586
12              0.25            16              [2,7,8]                                            3                              2500            613             0.010998725891113281
12              0.5             33              [1,3,5,6]                                          4                              2504            395             0.008000850677490234
12              0.75            49              [0,2,3,4,9,10,11]                                  7                              2502            209             0.011005401611328125
13              0.125           9               [7,12,0]                                           3                              2502            623             0.009019613265991211
13              0.25            19              [0,4,10]                                           3                              2501            607             0.010000228881835938
13              0.5             39              [0,5,6,10,11]                                      5                              2503            382             0.013000726699829102
13              0.75            58              [0,2,6,8,11]                                       5                              2504            313             0.011999130249023438
14              0.125           11              [13,11,10]                                         3                              2501            624             0.012000799179077148
14              0.25            22              [5,8,3]                                            3                              2500            612             0.009999990463256836
14              0.5             45              [0,2,4,7,13]                                       5                              2502            369             0.008999824523925781
14              0.75            68              [0,1,4,5,9,13]                                     6                              2506            248             0.009000301361083984
15              0.125           13              [7,3]                                              2                              2501            720             0.010002613067626953
15              0.25            26              [5,14,8]                                           3                              2500            598             0.010001420974731445
15              0.5             52              [0,1,3,12]                                         4                              2503            381             0.008507251739501953
15              0.75            78              [0,2,3,11,13,14]                                   6                              2508            259             0.009000301361083984
16              0.125           15              [13,15,0]                                          3                              2501            640             0.010000228881835938
16              0.25            30              [10,7,14,13]                                       4                              2501            491             0.009000778198242188
16              0.5             60              [2,3,7,8,9]                                        5                              2504            377             0.009999752044677734
16              0.75            90              [0,6,9,10,11,14,15]                                7                              2504            253             0.00899958610534668
17              0.125           17              [2,11]                                             2                              2502            692             0.010999917984008789
17              0.25            34              [11,5,6]                                           3                              2500            599             0.009999990463256836
17              0.5             68              [0,1,5,6,7]                                        5                              2500            391             0.009000301361083984
17              0.75            102             [0,1,3,6,10,12,13]                                 7                              2514            254             0.009005069732666016
18              0.125           19              [8,1,9]                                            3                              2500            638             0.010510683059692383
18              0.25            38              [13,1,0]                                           3                              2502            604             0.009999990463256836
18              0.5             76              [2,4,7,8,14,15]                                    6                              2500            305             0.007999897003173828
18              0.75            114             [0,4,7,8,9,10,12]                                  7                              2501            244             0.010001420974731445
19              0.125           21              [13,18,11]                                         3                              2500            633             0.009998798370361328
19              0.25            42              [4,11,1]                                           3                              2500            603             0.009999990463256836
19              0.5             85              [0,1,2,3,10]                                       5                              2502            391             0.008999347686767578
19              0.75            128             [0,3,5,6,13,16,17]                                 7                              2501            257             0.009000539779663086
20              0.125           23              [18,12]                                            2                              2505            705             0.01000070571899414
20              0.25            47              [4,8,15]                                           3                              2502            604             0.010004281997680664
20              0.5             95              [1,3,5,6,11]                                       5                              2504            388             0.008998394012451172
20              0.75            142             [0,1,3,8,12,13,15,19]                              8                              2512            209             0.009510040283203125
21              0.125           26              [8,3,1]                                            3                              2500            675             0.010000467300415039
21              0.25            52              [2,3,14]                                           3                              2502            609             0.00999903678894043
21              0.5             105             [0,3,5,12,19]                                      5                              2502            383             0.00900125503540039
21              0.75            157             [1,2,6,7,8,13,16,19]                               8                              2501            213             0.010999441146850586
22              0.125           28              [15,3,16]                                          3                              2500            626             0.009000301361083984
22              0.25            57              [4,17,7]                                           3                              2502            605             0.009999990463256836
22              0.5             115             [4,18,1,9]                                         4                              2504            404             0.009000062942504883
22              0.75            173             [1,3,4,14,15,16,17,18,19,20]                       10                             2510            207             0.011003732681274414
23              0.125           31              [22,11,7]                                          3                              2500            634             0.009999990463256836
23              0.25            63              [7,22,17]                                          3                              2503            607             0.011509895324707031
23              0.5             126             [4,10,11,19,20]                                    5                              2500            389             0.008999347686767578
23              0.75            189             [19,15,20,18,21,16,0]                              7                              2510            239             0.011000633239746094
24              0.125           34              [19,22,0]                                          3                              2500            620             0.010000467300415039
24              0.25            69              [4,20,0]                                           3                              2502            592             0.010000467300415039
24              0.5             138             [19,15,20,1,0]                                     5                              2504            386             0.008999347686767578
24              0.75            207             [0,4,5,7,10,12,19,20]                              8                              2503            223             0.009998798370361328
25              0.125           37              [11,17,3]                                          3                              2502            621             0.010000467300415039
25              0.25            75              [19,11,15,7]                                       4                              2508            471             0.009003639221191406
25              0.5             150             [4,15,14,13,0]                                     5                              2502            386             0.009000301361083984
25              0.75            225             [1,2,3,6,7,8,10,14,19,21]                          10                             2503            187             0.009509801864624023
