Language             Average Time         k                   
english              0.09251284599304199  3                   
english              0.09551620483398438  5                   
english              0.08251547813415527  10                  
spanish              0.15652132034301758  3                   
spanish              0.1650235652923584   5                   
spanish              0.136519193649292    10                  
french               0.1420297622680664   3                   
french               0.1465141773223877   5                   
french               0.12402200698852539  10                  
